congbillposey,Rep,Bill,Posey,R,FL,M,65
congpalazzo,Rep,Steven,Palazzo,R,MS,M,43
repmikepompeo,Rep,Mike,Pompeo,R,KS,M,49
SenRandPaul,Sen,Rand,Paul,R,KY,M,50
RepDonaldPayne,Rep,Donald,Payne,D,NJ,M,54
RepScottPerry,Rep,Scott,Perry,R,PA,M,50
RepPittenger,Rep,Robert,Pittenger,R,NC,M,64
RepScottPeters,Rep,Scott,Peters,D,CA,M,54
RepMikeQuigley,Rep,Mike,Quigley,D,IL,M,54
cbrangel,Rep,Charles,Rangel,D,NY,M,82
SenJackReed,Sen,John,Reed,D,RI,M,63
SenatorReid,Sen,Harry,Reid,D,NV,M,73
senpatroberts,Sen,Pat,Roberts,R,KS,M,76
senrockefeller,Sen,John,Rockefeller,D,WV,M,75
RepHalRogers,Rep,Harold,Rogers,R,KY,M,75
RosLehtinen,Rep,Ileana,Ros-Lehtinen,R,FL,F,60
RepRoybalAllard,Rep,Lucille,Roybal-Allard,D,CA,F,71
RepEdRoyce,Rep,Edward,Royce,R,CA,M,61
RepBobbyRush,Rep,Bobby,Rush,D,IL,M,66
reppaulryan,Rep,Paul,Ryan,R,WI,M,43
RepMikeRogers,Rep,Mike,Rogers,R,MI,M,49
RepMikeRogersAL,Rep,Mike,Rogers,R,AL,M,54
Call_Me_Dutch,Rep,C.,Ruppersberger,D,MD,M,67
RepTimRyan,Rep,Tim,Ryan,D,OH,M,39
davereichert,Rep,David,Reichert,R,WA,M,62
PeterRoskam,Rep,Peter,Roskam,R,IL,M,51
DrPhilRoe,Rep,David,Roe,R,TN,M,67
TomRooney,Rep,Thomas,Rooney,R,FL,M,42
RepTomReed,Rep,Tom,Reed,R,NY,M,41
repjimrenacci,Rep,James,Renacci,R,OH,M,54
RepRibble,Rep,Reid,Ribble,R,WI,M,57
reprichmond,Rep,Cedric,Richmond,D,LA,M,39
repscottrigell,Rep,E.,Rigell,R,VA,M,52
RepMarthaRoby,Rep,Martha,Roby,R,AL,F,36
ToddRokita,Rep,Todd,Rokita,R,IN,M,43
RepDennisRoss,Rep,Dennis,Ross,R,FL,M,53
RepJonRunyan,Rep,Jon,Runyan,R,NJ,M,39
SenRubioPress,Sen,Marco,Rubio,R,FL,M,41
RepTomRice,Rep,Tom,Rice,R,SC,M,55
KeithRothfus,Rep,Keith,Rothfus,R,PA,M,50
CongressmanRuiz,Rep,Raul,Ruiz,D,CA,M,40
RepMattSalmon,Rep,Matt,Salmon,R,AZ,M,55
lorettasanchez,Rep,Loretta,Sanchez,D,CA,F,53
sensanders,Sen,Bernard,Sanders,I,VT,M,71
chuckschumer,Sen,Charles,Schumer,D,NY,M,62
repbobbyscott,Rep,Robert,Scott,D,VA,M,65
JimPressOffice,Rep,F.,Sensenbrenner,R,WI,M,69
repjoseserrano,Rep,José,Serrano,D,NY,M,69
petesessions,Rep,Pete,Sessions,R,TX,M,58
SenShelbyPress,Sen,Richard,Shelby,R,AL,M,78
BradSherman,Rep,Brad,Sherman,D,CA,M,58
RepShimkus,Rep,John,Shimkus,R,IL,M,55
louiseslaughter,Rep,Louise,Slaughter,D,NY,F,83
Rep_Adam_Smith,Rep,Adam,Smith,D,WA,M,47
LamarSmithTX21,Rep,Lamar,Smith,R,TX,M,65
StabenowPress,Sen,Debbie,Stabenow,D,MI,F,62
SteveStockmanTX,Rep,Steve,Stockman,R,TX,M,56
SenatorSessions,Sen,Jefferson,Sessions,R,AL,M,66
janschakowsky,Rep,Janice,Schakowsky,D,IL,F,68
CongMikeSimpson,Rep,Michael,Simpson,R,ID,M,62
RepAdamSchiff,Rep,Adam,Schiff,D,CA,M,52
RepBillShuster,Rep,Bill,Shuster,R,PA,M,52
replindasanchez,Rep,Linda,Sánchez,D,CA,F,44
repdavidscott,Rep,David,Scott,D,GA,M,66
Rep_Albio_Sires,Rep,Albio,Sires,D,NJ,M,62
RepSheaPorter,Rep,Carol,Shea-Porter,D,NH,F,60
RepAdrianSmith,Rep,Adrian,Smith,R,NE,M,42
repspeier,Rep,Jackie,Speier,D,CA,F,62
repaaronschock,Rep,Aaron,Schock,R,IL,M,31
repschrader,Rep,Kurt,Schrader,D,OR,M,61
SenatorShaheen,Sen,Jeanne,Shaheen,D,NH,F,66
RepDavid,Rep,David,Schweikert,R,AZ,M,51
SenatorTimScott,Sen,Tim,Scott,R,SC,M,47
RepTerriSewell,Rep,Terri,Sewell,D,AL,F,48
Rep_Southerland,Rep,Steve,Southerland,R,FL,M,47
RepSteveStivers,Rep,Steve,Stivers,R,OH,M,48
RepStutzman,Rep,Marlin,Stutzman,R,IN,M,36
AustinScottGA08,Rep,Austin,Scott,R,GA,M,43
RepSchneider,Rep,Bradley,Schneider,D,IL,M,51
RepSinema,Rep,Kyrsten,Sinema,D,AZ,F,36
repchrisstewart,Rep,Chris,Stewart,R,UT,M,52
repswalwell,Rep,Eric,Swalwell,D,CA,M,32
BennieGThompson,Rep,Bennie,Thompson,D,MS,M,65
MacTXPress,Rep,Mac,Thornberry,R,TX,M,54
senjohnthune,Sen,John,Thune,R,SD,M,52
RepTierney,Rep,John,Tierney,D,MA,M,61
LEETERRYNE,Rep,Lee,Terry,R,NE,M,51
SenToomey,Sen,Patrick,Toomey,R,PA,M,51
tiberipress,Rep,Patrick,Tiberi,R,OH,M,50
RepMikeTurner,Rep,Michael,Turner,R,OH,M,53
nikiinthehouse,Rep,Niki,Tsongas,D,MA,F,66
CongressmanGT,Rep,Glenn,Thompson,R,PA,M,53
repdinatitus,Rep,Dina,Titus,D,NV,F,62
PaulTonko,Rep,Paul,Tonko,D,NY,M,63
RepTipton,Rep,Scott,Tipton,R,CO,M,56
RepMarkTakano,Rep,Mark,Takano,D,CA,M,52
RepFredUpton,Rep,Fred,Upton,R,MI,M,59
MarkUdall,Sen,Mark,Udall,D,CO,M,62
SenatorTomUdall,Sen,Tom,Udall,D,NM,M,64
NydiaVelazquez,Rep,Nydia,Velázquez,D,NY,F,60
repvisclosky,Rep,Peter,Visclosky,D,IN,M,63
chrisvanhollen,Rep,Chris,Van Hollen,D,MD,M,54
RepDavidValadao,Rep,David,Valadao,R,CA,M,35
RepVeasey,Rep,Marc,Veasey,D,TX,M,42
RepFilemonVela,Rep,Filemon,Vela,D,TX,M,50
