congbillposey,Rep,Bill,Posey,R,FL,M,65,1010,49,5724,930
congpalazzo,Rep,Steven,Palazzo,R,MS,M,43,643,23,3180,1291
repmikepompeo,Rep,Mike,Pompeo,R,KS,M,49,969,26,3566,1130
SenRandPaul,Sen,Rand,Paul,R,KY,M,50,849,29,177324,226
RepDonaldPayne,Rep,Donald,Payne,D,NJ,M,54,103,2,322,179
RepScottPerry,Rep,Scott,Perry,R,PA,M,50,248,51,1593,356
RepPittenger,Rep,Robert,Pittenger,R,NC,M,64,160,4,634,791
RepScottPeters,Rep,Scott,Peters,D,CA,M,54,220,2,333,185
RepMikeQuigley,Rep,Mike,Quigley,D,IL,M,54,2262,45,7188,1462
cbrangel,Rep,Charles,Rangel,D,NY,M,82,2127,50,13199,2679
SenJackReed,Sen,John,Reed,D,RI,M,63,860,14,4328,0
SenatorReid,Sen,Harry,Reid,D,NV,M,73,1773,54,98852,134
senpatroberts,Sen,Pat,Roberts,R,KS,M,76,532,43,6653,416
senrockefeller,Sen,John,Rockefeller,D,WV,M,75,2277,24,8905,624
RepHalRogers,Rep,Harold,Rogers,R,KY,M,75,320,12,1351,320
RosLehtinen,Rep,Ileana,Ros-Lehtinen,R,FL,F,60,7581,61,16022,952
RepRoybalAllard,Rep,Lucille,Roybal-Allard,D,CA,F,71,223,14,1081,206
RepEdRoyce,Rep,Edward,Royce,R,CA,M,61,702,26,3211,387
RepBobbyRush,Rep,Bobby,Rush,D,IL,M,66,374,22,2239,118
reppaulryan,Rep,Paul,Ryan,R,WI,M,43,1198,51,343185,1
RepMikeRogers,Rep,Mike,Rogers,R,MI,M,49,448,34,3468,153
RepMikeRogersAL,Rep,Mike,Rogers,R,AL,M,54,1270,48,7337,2878
Call_Me_Dutch,Rep,C.,Ruppersberger,D,MD,M,67,910,22,2495,937
RepTimRyan,Rep,Tim,Ryan,D,OH,M,39,1087,62,14189,983
davereichert,Rep,David,Reichert,R,WA,M,62,1147,56,7337,3088
PeterRoskam,Rep,Peter,Roskam,R,IL,M,51,2516,50,10503,4185
DrPhilRoe,Rep,David,Roe,R,TN,M,67,868,46,5645,181
TomRooney,Rep,Thomas,Rooney,R,FL,M,42,1591,49,10014,4322
RepTomReed,Rep,Tom,Reed,R,NY,M,41,388,26,2772,128
repjimrenacci,Rep,James,Renacci,R,OH,M,54,1222,27,4094,477
RepRibble,Rep,Reid,Ribble,R,WI,M,57,413,27,3863,511
reprichmond,Rep,Cedric,Richmond,D,LA,M,39,854,25,4066,1319
repscottrigell,Rep,E.,Rigell,R,VA,M,52,1267,28,4631,1625
RepMarthaRoby,Rep,Martha,Roby,R,AL,F,36,1984,28,6132,849
ToddRokita,Rep,Todd,Rokita,R,IN,M,43,2151,53,6504,2999
RepDennisRoss,Rep,Dennis,Ross,R,FL,M,53,10032,48,5718,1409
RepJonRunyan,Rep,Jon,Runyan,R,NJ,M,39,390,22,2952,34
SenRubioPress,Sen,Marco,Rubio,R,FL,M,41,963,27,11845,91
RepTomRice,Rep,Tom,Rice,R,SC,M,55,114,3,800,215
KeithRothfus,Rep,Keith,Rothfus,R,PA,M,50,127,2,340,293
CongressmanRuiz,Rep,Raul,Ruiz,D,CA,M,40,37,2,511,1
RepMattSalmon,Rep,Matt,Salmon,R,AZ,M,55,148,3,833,306
lorettasanchez,Rep,Loretta,Sanchez,D,CA,F,53,1319,39,11780,11999
sensanders,Sen,Bernard,Sanders,I,VT,M,71,6289,48,149654,1114
chuckschumer,Sen,Charles,Schumer,D,NY,M,62,1874,53,52147,27825
repbobbyscott,Rep,Robert,Scott,D,VA,M,65,397,33,4410,847
JimPressOffice,Rep,F.,Sensenbrenner,R,WI,M,69,105,6,384,165
repjoseserrano,Rep,José,Serrano,D,NY,M,69,1012,48,7001,366
petesessions,Rep,Pete,Sessions,R,TX,M,58,1970,49,9741,591
SenShelbyPress,Sen,Richard,Shelby,R,AL,M,78,104,50,8469,127
