,Total,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age,Under 18 years old,18 years and over,65 years and over,65 years and over male,65 years and over female,Percent under 18 years old,Percent 65 years old and over
  United States ,308746,151781,156964,20201,20349,20677,22040,21586,30672,41064,41071,45007,36483,19665,16818,21713,13061,5493,37,74181,234564,40268,17363,22905,24,13
Northeast,55317,26869,28448,3224,3338,3501,3891,3820,5441,7031,7401,8496,6810,3673,3137,3996,2609,1200,39,12333,42984,7805,3263,4542,22,14
Midwest,66927,32928,33999,4335,4432,4523,4806,4582,6550,8592,8580,9958,8096,4427,3669,4725,2977,1321,38,16128,50799,9022,3858,5164,24,13
South,114556,56135,58421,7672,7674,7701,8089,8000,11347,15284,15371,16465,13405,7139,6266,8307,4765,1822,37,27789,86767,14894,6450,8444,24,13
West ,71946,35850,36096,4970,4905,4952,5254,5184,7334,10157,9718,10087,8172,4426,3746,4686,2710,1151,36,17931,54014,8547,3792,4754,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,4780,2320,2460,305,308,320,343,335,479,609,620,694,588,312,276,371,212,76,38,1132,3647,658,279,379,24,14
AK,710,370,341,54,51,51,52,54,75,103,93,111,86,50,36,35,15,5,34,187,523,55,27,28,26,8
AZ,6392,3176,3216,456,454,449,462,443,633,857,822,843,726,375,351,498,281,103,36,1629,4763,882,402,480,25,14
AR,2916,1432,1484,198,197,198,204,200,284,376,366,407,351,184,167,235,134,51,37,711,2204,420,183,237,24,14
CA,37254,18518,18736,2531,2506,2591,2824,2766,3923,5318,5183,5252,4036,2204,1832,2275,1370,601,35,9295,27959,4247,1847,2399,25,11
CO,5029,2521,2509,344,349,333,339,349,488,726,700,743,598,328,269,310,170,70,36,1226,3804,550,244,306,24,11
CT,3574,1740,1834,202,223,240,251,228,327,420,484,576,443,240,203,255,167,85,40,817,2757,507,213,294,23,14
DE,898,435,463,56,56,57,65,63,91,111,116,134,111,58,53,72,41,16,39,206,692,129,57,73,23,14
DC,602,284,318,33,26,25,40,64,87,125,81,76,64,34,30,37,22,10,34,101,501,69,28,41,17,11
FL,18801,9189,9612,1074,1080,1131,1228,1229,1740,2290,2431,2741,2338,1202,1135,1728,1098,434,41,4002,14799,3260,1450,1809,21,17
GA,9688,4729,4958,687,695,690,710,680,970,1336,1398,1391,1070,574,496,606,312,114,35,2492,7196,1032,438,594,26,11
HI,1360,681,679,87,83,82,86,96,130,185,176,194,176,93,82,101,64,30,39,304,1056,195,86,109,22,14
ID,1568,785,782,122,121,117,115,108,154,209,192,209,180,97,83,110,60,25,35,429,1139,195,90,105,27,12
IL,12831,6292,6538,836,859,879,922,879,1246,1776,1726,1871,1473,808,665,850,525,235,37,3129,9701,1609,677,932,24,13
IN,6484,3190,3294,434,445,452,476,452,650,827,841,947,769,419,351,452,274,115,37,1608,4876,841,358,483,25,13
IA,3046,1508,1538,202,201,201,217,213,306,383,365,440,373,204,168,225,154,75,38,728,2318,453,193,260,24,15
KS,2853,1415,1438,205,202,199,204,204,288,378,347,406,331,183,149,190,126,59,36,727,2126,376,162,214,25,13
KY,4339,2135,2204,282,283,284,297,290,413,566,577,643,539,288,251,325,184,69,38,1023,3316,578,248,330,24,13
LA,4533,2219,2314,314,306,307,327,338,475,628,565,654,536,293,243,312,180,66,36,1118,3415,558,237,321,25,12
ME,1328,650,678,70,74,79,88,80,116,145,171,219,192,102,90,113,69,29,43,275,1054,211,92,119,21,16
MD,5774,2792,2982,364,367,379,406,394,557,762,796,902,696,378,318,386,223,98,38,1353,4421,708,300,408,23,12
MA,6548,3167,3381,367,386,406,463,476,678,845,887,1012,803,433,371,456,301,145,39,1419,5129,903,376,526,22,14
MI,9884,4848,5036,596,638,675,740,669,974,1164,1278,1510,1252,683,569,725,445,192,39,2344,7540,1362,587,774,24,14
MN,5304,2632,2672,356,356,352,368,356,503,716,681,808,629,350,280,354,222,107,37,1284,4020,683,298,385,24,13
MS,2967,1441,1526,211,206,208,225,211,305,387,375,417,347,187,161,214,122,44,36,756,2212,380,160,221,25,13
MO,5989,2933,3055,390,390,397,424,413,589,775,749,889,723,390,333,450,274,114,38,1425,4563,838,361,478,24,14
MT,989,497,493,62,61,61,67,67,95,123,113,150,139,76,63,81,46,20,40,224,766,147,68,79,23,15
NE,1826,906,920,132,129,123,129,129,183,245,221,259,213,118,95,123,84,39,36,459,1367,247,106,140,25,14
NV,2701,1364,1337,187,183,183,183,178,249,387,383,377,315,165,151,198,96,30,36,665,2036,324,153,171,25,12
NH,1316,649,667,70,78,85,94,85,123,144,179,226,178,96,82,97,57,25,41,287,1029,178,79,99,22,14
NJ,8792,4280,4512,541,565,587,598,541,767,1110,1238,1379,1046,566,481,611,395,180,39,2065,6727,1186,493,693,23,13
NM,2059,1017,1042,145,143,142,150,142,204,267,249,292,257,137,120,154,86,32,37,519,1541,272,123,150,25,13
NY,19378,9377,10001,1156,1164,1211,1366,1411,1984,2659,2610,2879,2304,1237,1066,1361,866,391,38,4325,15053,2618,1085,1533,22,14
NC,9535,4645,4890,632,636,631,660,662,939,1247,1327,1369,1139,601,538,698,389,147,37,2282,7254,1234,524,710,24,13
ND,673,340,333,45,40,40,47,59,81,90,75,97,82,46,36,47,34,17,37,150,523,97,42,55,22,14
