AL,4800736,67,3.9,26.2,0.6,1.1,0,1.5
AK,740231,64.1,5.5,3.3,14.8,5.4,1,7.3
AZ,6694017,57.8,29.6,4.1,4.6,2.8,0.2,3.4
AR,2937979,74.5,6.4,15.4,0.8,1.2,0.2,2
CA,38053956,40.1,37.6,6.2,1,13,0.4,4.9
CO,5229196,70,20.7,4,1.1,2.8,0.1,3.4
CT,3580709,71.2,13.4,10.1,0.3,3.8,0,2.6
DE,947934,65.3,8.2,21.4,0.5,3.2,0,2.7
FL,19057542,57.9,22.5,16,0.4,2.4,0.1,2.5
GA,9792653,55.9,8.8,30.5,0.3,3.2,0.1,2.1
HI,1400301,22.7,8.9,1.6,0.3,38.6,10,23.6
ID,1607582,84,11.2,0.6,1.4,1.2,0.1,2.5
IL,12869257,63.7,15.8,14.5,0.3,4.6,0,2.3
IN,6589802,81.5,6,9.1,0.3,1.6,0,2
IA,3246355,88.7,5,2.9,0.4,1.7,0.1,1.8
KS,2963118,78.2,10.5,5.9,1,2.4,0.1,3
KY,4369356,86.3,3.1,7.8,0.2,1.1,0.1,1.7
LA,4673372,60.3,4.2,32,0.7,1.5,0,1.6
ME,1401361,94.4,1.3,1.2,0.6,1,0,1.6
MD,5873552,54.7,8.2,29.4,0.4,5.5,0.1,2.9
MA,6601629,76.1,9.6,6.6,0.3,5.3,0,2.6
MI,9876187,76.6,4.4,14.2,0.6,2.4,0,2.3
MN,5403925,83.1,4.7,5.2,1.1,4,0,2.4
MS,3009297,58,2.7,37,0.5,0.9,0,1.1
MO,5988927,81,3.5,11.6,0.5,1.6,0.1,2.1
MT,998199,87.8,2.9,0.4,6.3,0.6,0.1,2.5
NE,1842641,82.1,9.2,4.5,1,1.8,0.1,2.2
NV,2723322,54.1,26.5,8.1,1.2,7.2,0.2,4.7
NH,1318194,92.3,2.8,1.1,0.2,2.2,0,1.6
NJ,8821155,59.3,17.7,13.7,0.3,8.3,0,2.7
NM,2082224,40.5,46.3,2.1,9.4,1.4,0.1,3.7
NY,19465197,58.3,17.6,15.9,0.6,7.3,0,3
NC,9656401,65.3,8.4,21.5,1.3,2.2,0.1,2.2
ND,682591,88.9,2,1.2,5.4,1,0,1.8
OH,11736504,81.1,3.1,12.2,0.2,1.7,0,2.1
OK,3821351,68.7,8.9,7.4,8.6,1.7,0.1,5.9
OR,3851074,78.5,11.7,1.8,1.4,3.7,0.3,3.8
PA,12902379,79.5,5.7,10.8,0.2,2.7,0,1.9
RI,1060567,76.4,12.4,5.7,0.6,2.9,0.1,3.3
SC,4825364,64.1,5.1,27.9,0.4,1.3,0.1,1.7
SD,900020,84.7,2.7,1.3,8.8,0.9,0,2.1
TN,6446105,75.6,4.6,16.7,0.3,1.4,0.1,1.7
TX,25901361,45.3,37.6,11.8,0.7,3.8,0.1,2.7
UT,2863885,80.4,13,1.1,1.2,2,0.9,2.7
VT,685741,94.3,1.5,1,0.4,1.3,0,1.7
VA,8101024,64.8,7.9,19.4,0.4,5.5,0.1,2.9
WA,6830038,72.5,11.2,3.6,1.5,7.2,0.6,4.7
WV,1882994,93.2,1.2,3.4,0.2,0.7,0,1.5
WI,5726986,83.3,5.9,6.3,1,2.3,0,1.8
WY,600626,85.9,8.9,0.8,2.4,0.8,0.1,2.2
