table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,
"Table 1. Annual Estimates of the Population for the United States, Regions, States, and Puerto Rico:
 April 1, 2010 to July 1, 2012",,,,,
Geographic Area,"April 1, 2010",,Population Estimates (as of July 1),,
,Census,Estimates Base,2010,2011,2012
United States,"308,745,538","308,747,508","309,326,225","311,587,816","313,914,040"
Northeast,"55,317,240","55,317,245","55,376,926","55,597,646","55,761,091"
Midwest,"66,927,001","66,927,489","66,972,135","67,145,089","67,316,297"
South,"114,555,744","114,557,147","114,853,800","116,022,230","117,257,221"
West,"71,945,553","71,945,627","72,123,364","72,822,851","73,579,431"
.Alabama,"4,779,736","4,779,745","4,784,762","4,803,689","4,822,023"
.Alaska,"710,231","710,231","714,046","723,860","731,449"
.Arizona,"6,392,017","6,392,015","6,410,810","6,467,315","6,553,255"
.Arkansas,"2,915,918","2,915,919","2,922,750","2,938,582","2,949,131"
.California,"37,253,956","37,253,956","37,334,410","37,683,933","38,041,430"
.Colorado,"5,029,196","5,029,196","5,048,472","5,116,302","5,187,582"
.Connecticut,"3,574,097","3,574,097","3,576,616","3,586,717","3,590,347"
.Delaware,"897,934","897,934","899,824","908,137","917,092"
.District of Columbia,"601,723","601,723","604,989","619,020","632,323"
.Florida,"18,801,310","18,802,690","18,845,967","19,082,262","19,317,568"
.Georgia,"9,687,653","9,687,663","9,714,748","9,812,460","9,919,945"
.Hawaii,"1,360,301","1,360,301","1,364,274","1,378,129","1,392,313"
.Idaho,"1,567,582","1,567,652","1,570,784","1,583,744","1,595,728"
.Illinois,"12,830,632","12,830,632","12,840,459","12,859,752","12,875,255"
.Indiana,"6,483,802","6,483,800","6,489,856","6,516,353","6,537,334"
.Iowa,"3,046,355","3,046,857","3,050,321","3,064,097","3,074,186"
.Kansas,"2,853,118","2,853,116","2,858,837","2,870,386","2,885,905"
.Kentucky,"4,339,367","4,339,357","4,346,655","4,366,814","4,380,415"
.Louisiana,"4,533,372","4,533,372","4,544,125","4,574,766","4,601,893"
.Maine,"1,328,361","1,328,361","1,327,585","1,328,544","1,329,192"
.Maryland,"5,773,552","5,773,552","5,787,998","5,839,572","5,884,563"
.Massachusetts,"6,547,629","6,547,629","6,563,259","6,607,003","6,646,144"
.Michigan,"9,883,640","9,883,635","9,877,670","9,876,801","9,883,360"
.Minnesota,"5,303,925","5,303,925","5,310,737","5,347,299","5,379,139"
.Mississippi,"2,967,297","2,967,299","2,969,137","2,977,457","2,984,926"
.Missouri,"5,988,927","5,988,924","5,996,092","6,008,984","6,021,988"
.Montana,"989,415","989,417","990,735","997,667","1,005,141"
.Nebraska,"1,826,341","1,826,341","1,829,696","1,842,234","1,855,525"
.Nevada,"2,700,551","2,700,552","2,703,758","2,720,028","2,758,931"
.New Hampshire,"1,316,470","1,316,469","1,316,843","1,317,807","1,320,718"
.New Jersey,"8,791,894","8,791,898","8,803,388","8,834,773","8,864,590"
.New Mexico,"2,059,179","2,059,180","2,064,767","2,078,674","2,085,538"
.New York,"19,378,102","19,378,104","19,399,242","19,501,616","19,570,261"
.North Carolina,"9,535,483","9,535,471","9,559,048","9,651,103","9,752,073"
.North Dakota,"672,591","672,591","674,363","684,740","699,628"
.Ohio,"11,536,504","11,536,502","11,538,290","11,541,007","11,544,225"
.Oklahoma,"3,751,351","3,751,354","3,759,482","3,784,163","3,814,820"
.Oregon,"3,831,074","3,831,073","3,838,212","3,868,229","3,899,353"
.Pennsylvania,"12,702,379","12,702,379","12,711,308","12,743,948","12,763,536"
.Rhode Island,"1,052,567","1,052,567","1,052,769","1,050,646","1,050,292"
.South Carolina,"4,625,364","4,625,364","4,635,835","4,673,348","4,723,723"
.South Dakota,"814,180","814,180","816,223","823,593","833,354"
.Tennessee,"6,346,105","6,346,113","6,356,673","6,399,787","6,456,243"
.Texas,"25,145,561","25,145,561","25,242,683","25,631,778","26,059,203"
.Utah,"2,763,885","2,763,885","2,775,093","2,814,347","2,855,287"
.Vermont,"625,741","625,741","625,916","626,592","626,011"
.Virginia,"8,001,024","8,001,031","8,025,105","8,104,384","8,185,867"
.Washington,"6,724,540","6,724,543","6,743,636","6,823,267","6,897,012"
.West Virginia,"1,852,994","1,852,999","1,854,019","1,854,908","1,855,413"
.Wisconsin,"5,686,986","5,686,986","5,689,591","5,709,843","5,726,398"
.Wyoming,"563,626","563,626","564,367","567,356","576,412"
,,,,,
Puerto Rico,"3,725,789","3,725,789","3,721,208","3,694,093","3,667,084"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. See Geographic Terms and Definitions at http://www.census.gov/popest/about/geo/terms.html for a list of the states that are included in each region.",,,,,
Suggested Citation:,,,,,
"Table 1. Annual Estimates of the Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2012 (NST-EST2012-01)",,,,,
"Source: U.S. Census Bureau, Population Division",,,,,
Release Date: December 2012,,,,,
