Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4c. Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(leading dots indicate subpart),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State and Age,Total Population,Total Citizen Population,Registered,,,,,Total Voted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Registered,Percent registered (Total 18+),Margin of error1,Percent registered (Citizen 18+),Margin of error1,Total Voted,Percent voted (Total 18+),Margin of error1,Percent voted (Citizen 18+),Margin of error1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"225,499","206,072","146,311",64.9,0.3,71.0,0.3,"131,144",58.2,0.3,63.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.18 to 24,"28,263","25,791","15,082",53.4,0.8,58.5,0.8,"12,515",44.3,0.8,48.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.25 to 34,"40,240","34,218","22,736",56.5,0.7,66.4,0.7,"19,501",48.5,0.7,57.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.35 to 44,"41,460","36,397","25,449",61.4,0.7,69.9,0.6,"22,865",55.1,0.7,62.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.45 to 54,"44,181","41,085","30,210",68.4,0.6,73.5,0.6,"27,673",62.6,0.6,67.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.55 to 64,"33,896","32,288","24,734",73.0,0.7,76.6,0.6,"23,071",68.1,0.7,71.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.65 to 74,"20,227","19,571","15,290",75.6,0.9,78.1,0.8,"14,176",70.1,0.9,72.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.75+,"17,231","16,724","12,810",74.3,0.9,76.6,0.9,"11,344",65.8,1.0,67.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"3,497","3,404","2,438",69.7,2.3,71.6,2.2,"2,126",60.8,2.4,62.4,2.4,,,
.18 to 24,458,441,301,65.7,6.5,68.1,6.4,238,51.9,6.9,53.8,6.9,,,
.25 to 44,"1,208","1,139",724,59.9,4.2,63.6,4.1,624,51.6,4.2,54.8,4.2,,,
.45 to 64,"1,210","1,204",895,74.0,3.7,74.4,3.7,809,66.9,4.0,67.2,4.0,,,
.65 to 74,368,368,306,83.2,5.8,83.2,5.8,277,75.2,6.6,75.2,6.6,,,
.75+,253,253,212,84.0,6.8,84.0,6.8,178,70.5,8.5,70.5,8.5,,,
ALASKA 2,,,,,,,,,,,,,,,
.Total,488,468,345,70.8,2.4,73.7,2.4,304,62.4,2.6,65.0,2.6,,,
.18 to 44,253,239,164,65.1,3.5,68.8,3.4,138,54.8,3.7,57.9,3.7,,,
.45 to 64,191,187,148,77.6,3.6,79.4,3.5,135,70.7,3.9,72.3,3.8,,,
.65+,44,43,33,(B),(B),(B),(B),31,(B),(B),(B),(B),,,
ARIZONA,,,,,,,,,,,,,,,
.Total,"4,688","4,169","2,874",61.3,2.1,68.9,2.0,"2,497",53.3,2.2,59.9,2.1,,,
.18 to 24,574,516,303,52.7,6.3,58.7,6.2,223,38.7,6.1,43.2,6.2,,,
.25 to 44,"1,754","1,451",963,54.9,3.6,66.4,3.4,793,45.2,3.6,54.7,3.6,,,
.45 to 64,"1,628","1,502","1,065",65.4,3.5,70.9,3.4,996,61.2,3.6,66.3,3.5,,,
.65 to 74,428,414,337,78.6,5.9,81.3,5.7,303,70.8,6.6,73.2,6.4
.75+,303,286,206,68.0,8.0,72.2,7.7,181,59.7,8.5,63.4,8.3
ARKANSAS,,,,,,,,,,,,
.Total,"2,108","2,030","1,317",62.5,2.5,64.9,2.5,"1,092",51.8,2.6,53.8,2.6
.18 to 24,325,320,141,43.3,6.5,44.0,6.5,99,30.6,6.0,31.0,6.0
.25 to 44,667,610,344,51.5,4.6,56.3,4.5,281,42.1,4.5,46.1,4.5
.45 to 64,706,690,504,71.4,4.0,73.1,3.9,424,60.0,4.3,61.4,4.3
.65 to 74,254,254,215,84.4,5.4,84.4,5.4,189,74.3,6.5,74.3,6.5
.75+,156,156,114,73.3,8.4,73.3,8.4,99,63.7,9.1,63.7,9.1
CALIFORNIA,,,,,,,,,,,,
.Total,"26,993","21,816","14,885",55.1,0.9,68.2,0.9,"13,828",51.2,0.9,63.4,0.9
.18 to 24,"3,622","2,962","1,727",47.7,2.5,58.3,2.5,"1,504",41.5,2.5,50.8,2.5
.25 to 44,"10,518","7,633","4,985",47.4,1.5,65.3,1.4,"4,582",43.6,1.5,60.0,1.4
.45 to 64,"8,888","7,592","5,503",61.9,1.6,72.5,1.4,"5,222",58.8,1.6,68.8,1.5
.65 to 74,"2,134","1,955","1,412",66.2,3.1,72.2,2.9,"1,353",63.4,3.1,69.2,3.0
.75+,"1,832","1,673","1,257",68.6,3.3,75.1,3.0,"1,167",63.7,3.4,69.7,3.2
COLORADO,,,,,,,,,,,,,,,
.Total,"3,694","3,374","2,437",66.0,2.3,72.2,2.2,"2,308",62.5,2.4,68.4,2.3,,,
.18 to 24,498,455,248,49.8,6.7,54.5,6.7,231,46.5,6.7,50.9,6.7,,,
.25 to 44,"1,397","1,199",871,62.3,3.9,72.6,3.6,808,57.8,4.0,67.4,3.8,,,
.45 to 64,"1,336","1,261",949,71.0,3.7,75.2,3.6,908,68.0,3.8,72.0,3.7,,,
.65 to 74,261,260,218,83.5,6.9,84.0,6.8,212,81.1,7.3,81.7,7.2,,,
.75+,202,199,151,74.8,9.2,76.0,9.1,148,73.3,9.4,74.5,9.2,,,
CONNECTICUT,,,,,,,,,,,,,,,
.Total,"2,651","2,396","1,761",66.4,2.5,73.5,2.3,"1,610",60.8,2.5,67.2,2.5,,,
.18 to 24,322,284,164,50.9,7.5,57.6,7.4,143,44.4,7.4,50.3,7.5,,,
.25 to 44,900,770,529,58.7,4.4,68.6,4.2,483,53.7,4.5,62.7,4.3,,,
.45 to 64,968,900,691,71.3,3.9,76.7,3.6,648,67.0,4.1,72.0,3.9,,,
.65 to 74,223,212,183,81.8,6.9,86.2,6.2,159,71.3,8.1,75.1,7.8,,,
.75+,236,229,195,82.6,6.6,85.3,6.2,177,74.7,7.6,77.1,7.3,,,
DELAWARE 2,,,,,,,,,,,,,,,
.Total,648,606,447,69.1,2.5,73.8,2.3,408,63.0,2.6,67.3,2.5,,,
.18 to 44,297,265,180,60.4,3.8,67.8,3.7,162,54.4,3.9,61.1,3.8,,,
.45 to 64,230,223,173,75.5,3.8,77.9,3.7,160,69.8,4.1,72.0,4.0,,,
.65+,121,119,94,78.2,5.1,79.4,5.0,86,71.1,5.6,72.2,5.5,,,
DISTRICT OF COLUMBIA 2,,,,,,,,,,,,,,,
.Total,469,413,324,69.0,2.6,78.3,2.3,306,65.3,2.7,74.1,2.4,,,
.18 to 44,263,219,177,67.2,3.5,80.8,2.9,167,63.3,3.6,76.2,3.2,,,
.45 to 64,147,137,103,69.6,4.6,74.9,4.3,98,66.8,4.7,71.8,4.5,,,
.65+,59,58,44,(B),(B),(B),(B),41,(B),(B),(B),(B),,,
FLORIDA,,,,,,,,,,,,,,,
.Total,"14,069","12,462","8,774",62.4,1.2,70.4,1.1,"7,951",56.5,1.2,64.2,1.2,,,
.18 to 24,"1,560","1,390",832,53.3,3.7,59.8,3.7,693,44.4,3.7,48.3,3.8,,,
.25 to 44,"4,664","3,818","2,521",54.1,2.2,66.0,2.1,"2,246",48.1,2.2,61.3,2.1,,,
