Table with row headers in column A and column headers in rows 5 through 6.,
,Total,18 to 24,25 to 34,35 to 44,45 to 54,55 to 64,65 to 74,75+,,

UNITED STATES,
.Total,58.2
.18 to 24,44.3
.25 to 34,48.5
.35 to 44,55.1
.45 to 54,62.6
.55 to 64,68.1
.65 to 74,70.1
.75+,65.8
ALABAMA,AL
.Total,60.8
.18 to 24,51.9
.25 to 44,51.6
.45 to 64,66.9
.65 to 74,75.2
.75+,70.5
ALASKA,AK
.Total,62.4
.18 to 44,54.8
.45 to 64,70.7
.65+,(B)
ARIZONA,AZ
.Total,53.3
.18 to 24,38.7
.25 to 44,45.2
.45 to 64,61.2
.65 to 74,70.8
.75+,59.7
ARKANSAS,AR
.Total,51.8
.18 to 24,30.6
.25 to 44,42.1
.45 to 64,60.0
.65 to 74,74.3
.75+,63.7
CALIFORNIA,CA
.Total,51.2
.18 to 24,41.5
.25 to 44,43.6
.45 to 64,58.8
.65 to 74,63.4
.75+,63.7
COLORADO,CO
.Total,62.5
.18 to 24,46.5
.25 to 44,57.8
.45 to 64,68.0
.65 to 74,81.1
.75+,73.3
CONNECTICUT,CT
.Total,60.8
.18 to 24,44.4
.25 to 44,53.7
.45 to 64,67.0
.65 to 74,71.3
.75+,74.7
DELAWARE 2,DE
.Total,63.0
.18 to 44,54.4
.45 to 64,69.8
.65+,71.1
DISTRICT OF COLUMBIA 2,DC
.Total,65.3
.18 to 44,63.3
.45 to 64,66.8
.65+,(B)
FLORIDA,FL
.Total,56.5
.18 to 24,44.4
.25 to 44,48.1
.45 to 64,60.9
.65 to 74,68.9
.75+,68.9
GEORGIA,GA
.Total,59.6
.18 to 24,44.2
.25 to 44,54.3
.45 to 64,67.9
.65 to 74,69.2
.75+,68.1
HAWAII,HI
.Total,46.8
.18 to 24,22.4
.25 to 44,35.7
.45 to 64,57.6
.65 to 74,61.1
.75+,64.7
IDAHO 2,ID
.Total,58.8
.18 to 44,47.3
.45 to 64,69.8
.65+,70.2
ILLINOIS,IL
.Total,57.1
.18 to 24,46.1
.25 to 44,52.9
.45 to 64,63.1
.65 to 74,66.0
.75+,60.4
INDIANA,IN
.Total,58.8
.18 to 24,42.6
.25 to 44,54.9
.45 to 64,65.8
.65 to 74,66.7
.75+,60.5
IOWA,IA
.Total,66.9
.18 to 24,59.2
.25 to 44,59.6
.45 to 64,72.3
.65 to 74,78.9
.75+,70.0
KANSAS,KS
.Total,59.8
.18 to 24,41.3
.25 to 44,51.3
.45 to 64,68.7
.65 to 74,75.5
.75+,72.5
KENTUCKY,KY
.Total,61.4
