Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,
"Table 4b. Reported Voting and Registration of the Voting-Age Population, by Sex, Race and Hispanic Origin, for States: November 2008",,,,,,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,,,,,
(leading dots indicate subpart),,,,,,,,,,,,,,,,,,
"State, sex, race, and Hispanic origin",Total Population,Total Citizen Population,Registered,,,,,Total Voted,,,,,,,,,,
,,,Total Registered,Percent registered (Total 18+),Margin of error1,Percent registered (Citizen 18+),Margin of error1,Total Voted,Percent voted (Total 18+),Margin of error1,Percent voted (Citizen 18+),Margin of error1,,,,,,
,,,,,,,,,,,,,,,,,,
.Total,"225,499","206,072","146,311",64.9,0.3,71.0,0.3,"131,144",58.2,0.3,63.6,0.3,,,,,,
.Male,"108,974","98,818","68,242",62.6,0.4,69.1,0.4,"60,729",55.7,0.4,61.5,0.4,,,,,,
.Female,"116,525","107,255","78,069",67.0,0.4,72.8,0.4,"70,415",60.4,0.4,65.7,0.4,,,,,,
.White alone,"183,169","169,438","122,020",66.6,0.3,72.0,0.3,"109,100",59.6,0.3,64.4,0.3,,,,,,
..White non-Hispanic alone,"154,472","151,321","111,215",72.0,0.3,73.5,0.3,"100,042",64.8,0.3,66.1,0.3,,,,,,
.Black alone,"26,528","24,930","17,375",65.5,1.0,69.7,1.0,"16,133",60.8,1.0,64.7,1.0,,,,,,
.Asian alone,"10,455","7,059","3,901",37.3,1.7,55.3,1.7,"3,357",32.1,1.6,47.6,1.7,,,,,,
.Hispanic (of any race),"30,852","19,537","11,608",37.6,1.2,59.4,1.2,"9,745",31.6,1.2,49.9,1.3,,,,,,
.White alone or in combination,"185,773","171,798","123,628",66.5,0.3,72.0,0.3,"110,500",59.5,0.3,64.3,0.3,,,,,,
.Black alone or in combination ,"27,483","25,768","17,960",65.3,1.0,69.7,0.9,"16,674",60.7,1.0,64.7,1.0
.Asian alone or in combination,"11,009","7,562","4,225",38.4,1.7,55.9,1.7,"3,627",32.9,1.6,48.0,1.7
ALABAMA,,,,,,,,,,,,
.Total,"3,497","3,404","2,438",69.7,2.3,71.6,2.2,"2,126",60.8,2.4,62.4,2.4
.Male,"1,654","1,593","1,092",66.0,3.4,68.5,3.4,927,56.1,3.6,58.2,3.6
.Female,"1,843","1,811","1,346",73.0,3.0,74.3,3.0,"1,199",65.0,3.3,66.2,3.2
.White alone,"2,541","2,473","1,791",70.5,2.7,72.4,2.6,"1,543",60.7,2.9,62.4,2.8
..White non-Hispanic alone,"2,474","2,470","1,791",72.4,2.7,72.5,2.6,"1,543",62.4,2.9,62.5,2.9
.Black alone,875,875,611,69.9,5.5,69.9,5.5,547,62.5,5.8,62.5,5.8
.Asian alone,32,8,-,(B),(B),(B),(B),-,(B),(B),(B),(B)
.Hispanic (of any race),71,7,4,(B),(B),(B),(B),4,(B),(B),(B),(B)
.White alone or in combination,"2,579","2,511","1,824",70.7,2.6,72.6,2.6,"1,576",61.1,2.8,62.8,2.8
.Black alone or in combination ,892,892,626,70.1,5.5,70.1,5.5,561,62.9,5.8,62.9,5.8
.Asian alone or in combination,32,8,-,(B),(B),(B),(B),-,(B),(B),(B),(B)
ALASKA,,,,,,,,,,,,
.Total,488,468,345,70.8,2.4,73.7,2.4,304,62.4,2.6,65.0,2.6
.Male,246,241,171,69.6,3.5,71.1,3.4,152,61.8,3.7,63.2,3.6
.Female,242,228,174,72.0,3.4,76.5,3.2,152,62.9,3.7,66.8,3.6
.White alone,364,355,278,76.4,2.6,78.4,2.6,251,69.0,2.9,70.8,2.8
