Total,Male,Female,Whitealone,Whitenon-Hispanicalone,Blackalone,Asianalone,Hispanic(ofanyrace),Whitealoneorincombination,Blackaloneorincombination,Asianaloneorincombination
US,58.2,55.7,60.4,59.6,64.8,60.8,32.1,31.6,59.5,60.7,32.9
AL,60.8,56.1,65.0,60.7,62.4,62.5,(B),(B),61.1,62.9,(B)
AK,62.4,61.8,62.9,69.0,69.8,(B),(B),(B),68.3,(B),(B)
AZ,53.3,51.2,55.3,53.5,65.7,51.5,45.7,23.7,53.6,51.2,46.3
AR,51.8,47.6,55.6,53.7,55.9,43.1,(B),(B),53.9,43.5,(B)
CA,51.2,48.5,53.9,52.7,65.6,63.8,38.7,33.4,52.7,61.9,38.9
CO,62.5,61.0,63.9,63.9,70.5,54.4,36.7,33.1,63.9,53.4,38.8
CT,60.8,59.8,61.6,65.2,68.5,48.4,15.5,35.2,65.2,48.8,16.4
DE,63.0,59.6,66.1,65.6,69.2,62.2,(B),(B),65.6,62.2,(B)
DC,65.3,61.3,68.7,64.0,75.3,68.4,(B),(B),64.1,68.2,(B)
FL,56.5,54.3,58.6,58.3,62.8,50.1,31.3,42.2,58.2,49.5,30.9
GA,59.6,56.7,62.3,59.0,63.4,65.0,23.0,23.6,59.1,65.2,23.0
HI,46.8,46.6,47.1,57.0,60.6,(B),49.2,(B),52.2,(B),46.0
ID,58.8,58.2,59.4,59.5,64.0,(B),(B),24.9,59.4,(B),(B)
IL,57.1,54.5,59.5,58.3,62.9,60.4,21.7,29.0,58.3,60.5,22.4
IN,58.8,56.6,61.0,59.0,60.9,59.2,(B),18.3,59.0,58.9,(B)
IA,66.9,63.7,69.9,68.2,70.7,(B),(B),19.8,68.4,(B),(B)
KS,59.8,55.7,63.8,62.7,65.1,51.3,(B),28.8,62.2,50.7,30.4
KY,61.4,58.5,64.1,62.2,62.9,60.6,(B),(B),62.3,61.0,(B)
LA,68.0,66.6,69.2,70.3,72.1,66.2,(B),32.0,70.5,66.6,(B)
ME,70.2,68.3,71.9,71.2,71.5,(B),(B),(B),70.7,(B),(B)
MD,61.9,58.1,65.3,62.5,65.2,66.9,28.2,34.0,62.5,66.8,28.3
MA,61.3,61.1,61.6,65.1,67.5,47.0,23.4,26.9,65.3,49.4,23.4
MI,65.0,62.3,67.5,65.6,66.5,70.2,25.9,35.5,65.5,70.0,29.6
MN,70.8,67.2,74.2,74.0,75.5,45.5,34.4,27.6,73.7,45.4,36.1
MS,68.2,64.8,71.3,65.9,68.1,72.9,(B),(B),66.1,73.1,(B)
MO,64.2,62.2,66.1,64.0,64.9,73.4,(B),20.2,63.8,73.5,(B)
MT,64.7,63.2,66.1,65.5,65.9,(B),(B),(B),65.3,(B),(B)
NE,64.5,61.1,67.7,66.3,68.5,(B),(B),31.6,66.2,(B),(B)
NV,52.8,52.8,52.8,54.1,61.5,71.1,22.3,30.4,53.8,68.6,21.7
NH,69.8,68.3,71.2,71.0,71.4,(B),(B),(B),70.7,(B),(B)
NJ,56.0,54.7,57.3,58.3,64.0,56.2,38.0,33.4,58.1,56.7,37.6
NM,57.4,54.8,59.9,58.1,70.3,(B),(B),45.2,58.3,(B),(B)
NY,51.5,49.6,53.3,56.2,59.6,45.7,22.2,36.4,55.9,45.1,22.6
NC,63.8,61.7,65.8,64.6,68.0,67.2,28.4,20.7,64.7,66.9,31.0
ND,66.3,61.9,70.5,66.7,67.3,(B),(B),(B),66.9,(B),(B)
OH,64.5,64.0,65.0,64.4,65.2,68.9,38.8,35.0,64.4,68.7,42.3
OK,56.5,56.4,56.6,58.2,60.6,61.6,(B),19.5,57.9,60.1,(B)
OR,62.6,59.0,66.0,65.2,68.8,(B),(B),14.9,65.1,(B),53.3
PA,60.8,59.3,62.2,61.6,62.3,60.6,20.1,44.6,61.7,61.6,21.0
RI,63.0,59.9,65.8,64.2,67.4,(B),(B),(B),64.1,(B),(B)
SC,63.4,59.2,67.2,60.8,62.8,72.0,(B),16.4,60.5,71.9,(B)
SD,66.1,61.2,70.8,68.8,69.6,(B),(B),(B),68.4,(B),(B)
TN,53.6,50.4,56.5,53.7,55.3,58.1,19.2,19.2,53.7,58.3,22.4
TX,48.8,45.8,51.6,48.3,63.3,61.8,19.6,27.2,48.3,62.5,21.4
UT,50.5,45.9,55.2,51.7,54.7,(B),(B),15.4,51.7,(B),(B)
VT,63.2,61.1,65.2,63.6,63.9,(B),(B),(B),63.6,(B),(B)
VA,63.8,60.2,67.1,64.8,68.2,66.6,41.2,22.5,64.8,66.4,41.1
WA,62.6,59.5,65.5,66.6,69.2,36.3,38.5,36.6,66.5,42.3,39.4
WV,53.1,51.9,54.2,53.5,53.5,(B),(B),(B),53.5,(B),(B)
WI,68.5,67.3,69.7,69.1,71.9,73.1,41.0,26.9,69.0,70.5,42.4
WY,62.9,59.2,66.7,64.1,65.1,(B),(B),(B),64.3,(B),(B)
