Robert_Aderholt,716,5611,65,45.7253040123
senalexander,651,13980,363,45.7021049383
USRepAlexander,220,3334,351,30.0590617284
repjustinamash,4481,29356,1589,30.1101994599
markamodeinv2,467,2495,1268,20.0691180556
BachusAL06,392,6407,2,45.4906080247
RepJoeBarton,767,11556,61,53.4583217593
repbecerra,978,11328,1792,38.8617048611
SanfordBishop,554,4230,438,28.9195999228
blumenauermedia,293,2268,246,38.4912453704
RoyBlunt,2964,25504,7732,52.9160150463
SpeakerBoehner,11047,492229,13766,72.0677631173
senatorboxer,1028,28891,83,60.1992527006
RepKevinBrady,3083,9638,253,53.45909375
RepCorrineBrown,609,3449,149,26.1023387346
SenSherrodBrown,874,30297,40,49.4991257716
senatorburr,1052,20555,3841,52.9508557099
RepBrady,409,4927,568,37.5286149691
JohnBoozman,1001,14331,276,75.0325042438
timbishopny,603,3966,2074,37.0571242284
MarshaBlackburn,1213,9784,1987,27.0297345679
repjobonner,603,4333,460,33.8249309414
CandiceMiller,380,7185,407,60.6941859568
michaelcburgess,2588,11280,741,59.4667781636
RepRobBishop,0,680,95,37.5659193673
gkbutterfield,319,1424,182,18.7961292438
repjohnbarrow,508,5515,163,52.4610223765
RepBoustany,144,2968,116,28.9239594907
MicheleBachmann,2205,184746,2799,54.9976786265
RepGusBilirakis,2223,8349,1190,51.8299463735
brucebraley,4033,15100,11337,51.3588271605
VernBuchanan,1454,13164,10803,53.2241882716
SenJohnBarrasso,1067,9863,362,32.8676188272
RepPaulBrounMD,857,10744,2411,54.260273534
SenatorBegich,2460,12606,486,44.7954390432
SenBennetCo,686,11909,56,30.9972411265
RepLouBarletta,916,4851,1666,29.6303973765
RepKarenBass,1165,16962,14852,29.6251099537
CongressmanDan,140,8192,7709,29.3994467593
RepDianeBlack,1544,6552,1293,41.3215744599
RepMoBrooks,276,5168,1977,29.832966821
RepLarryBucshon,1907,4498,719,30.0301959877
SenBlumenthal,1380,10962,342,27.0309382716
RepBonamici,281,1909,803,14.365275463
RepRonBarber,481,1352,83,12.3879529321
repkerryb,320,1541,1247,7.13030864198
RepAndyBarr,440,1758,884,5.39862654321
RepJBridenstine,474,8034,2405,5.36242746914
SusanWBrooks,194,1117,146,5.56527507716
repbera,307,1508,51,7.38450578704
KenCalvert,1344,2979,110,52.5222276235
RepDaveCamp,1449,13073,6805,51.5275200617
CantwellPress,357,5870,0,40.5265914352
SenatorCardin,2004,16666,144,41.4895081019
SenatorCarper,1943,7555,424,28.8926840278
RepSteveChabot,467,3880,887,29.799248071
SaxbyChambliss,520,6570,183,15.168685571
DelegateDonna,790,3284,160,27.9256566358
clyburn,510,17837,908,34.0620447531
sendancoats,1281,10713,454,32.0993958333
HowardCoble,526,2506,457,24.8843016975
TomCoburn,855,66484,171,54.9985790895
SenThadCochran,354,4996,371,14.4902172068
repjohnconyers,490,8229,475,38.400964892
repjimcooper,426,4209,257,52.5334552469
mikecrapo,2015,4289,360,12.8239409722
senatorcollins,718,24269,519,53.5938395062
RepLoisCapps,1069,4409,787,26.0997997685
repjoecrowley,655,4318,231,41.1970300926
AnderCrenshaw,479,6109,113,53.3509888117
gopleader,5231,152402,8846,54.1799440586
RepShelley,743,6087,849,33.5630717593
congculberson,628,4846,595,52.1675104167
JudgeCarter,2570,8769,2941,55.2576385031
tomcoleok04,158,3913,74,52.3897349537
JohnCornyn,9964,44511,8553,65.4925478395
repjimcosta,395,1013,298,29.1941809414
repcleaver,786,7387,357,36.1614868827
