age,followers,,,,,
47,4947,,,,,
72,11565,,slope,1.08303E-05,57.53452844,intercept
66,2649,,plus or minus,5.60298E-06,0.506336798,plus or minus
32,24929,,r^2,0.007903599,10.84144492,s(y)
54,2143,,F,3.73631812,469,degrees of freedom
65,5786,,regression ss,439.1553534,55124.81917,residual ss
63,10844,,,,,
55,10357,,,,,
66,3684,,,,,
64,2130,,,,,
63,23410,,,,,
63,468004,,,,,
72,25174,,,,,
57,7951,,,,,
66,2918,,,,,
60,27829,,,,,
57,18185,,,,,
68,4501,,,,,
62,12721,,,,,
62,3583,,,,,
60,8275,,,,,
53,3789,,,,,
79,6641,,,,,
62,10778,,,,,
61,582,,,,,
65,1104,,,,,
57,4953,,,,,
57,2378,,,,,
57,175742,,,,,
50,7788,,,,,
55,14784,,,,,
61,12600,,,,,
60,8079,,,,,
66,9965,,,,,
51,10862,,,,,
48,10313,,,,,
57,4055,,,,,
59,16430,,,,,
60,7990,,,,,
62,5651,,,,,
58,4611,,,,,
50,3757,,,,,
67,8972,,,,,
58,1540,,,,,
67,993,,,,,
61,778,,,,,
39,902,,,,,
37,1437,,,,,
52,706,,,,,
51,1471,,,,,
48,880,,,,,
59,2575,,,,,
59,12167,,,,,
54,4922,,,,,
69,14860,,,,,
66,6337,,,,,
60,3170,,,,,
69,5096,,,,,
67,2795,,,,,
72,16736,,,,,
69,8809,,,,,
82,2177,,,,,
65,62467,,,,,
75,3352,,,,,
83,7127,,,,,
58,3882,,,,,
61,2904,,,,,
60,22362,,,,,
75,3808,,,,,
51,3694,,,,,
68,5517,,,,,
49,142391,,,,,
59,5530,,,,,
56,4469,,,,,
71,8317,,,,,
63,3362,,,,,
61,40188,,,,,
60,740,,,,,
68,6667,,,,,
64,2252,,,,,
57,4210,,,,,
57,3300,,,,,
48,4482,,,,,
63,6615,,,,,
60,5794,,,,,
52,10227,,,,,
60,15006,,,,,
38,5571,,,,,
46,36428,,,,,
58,9456,,,,,
63,4266,,,,,
59,5157,,,,,
56,4075,,,,,
51,313,,,,,
47,3897,,,,,
49,1437,,,,,
51,643,,,,,
38,7211,,,,,
62,519,,,,,
46,449,,,,,
70,244,,,,,
35,940,,,,,
52,623,,,,,
42,42669,,,,,
65,4788,,,,,
55,7224,,,,,
70,7653,,,,,
86,6471,,,,,
66,6174,,,,,
59,5159,,,,,
68,25276,,,,,
51,4373,,,,,
57,5864,,,,,
46,5252,,,,,
45,3525,,,,,
41,7519,,,,,
47,6270,,,,,
49,3457,,,,,
51,677,,,,,
50,758,,,,,
43,784,,,,,
49,605,,,,,
34,1280,,,,,
45,1358,,,,,
66,2780,,,,,
70,4445,,,,,
69,1975,,,,,
49,41199,,,,,
54,9879,,,,,
49,7949,,,,,
63,260,,,,,
53,1061,,,,,
71,4002,,,,,
56,6917,,,,,
79,16245,,,,,
50,17109,,,,,
61,9580,,,,,
55,8980,,,,,
52,7194,,,,,
69,9406,,,,,
49,3331,,,,,
57,598,,,,,
60,7111,,,,,
61,6450,,,,,
40,2943,,,,,
50,3546,,,,,
50,4496,,,,,
59,5245,,,,,
64,676,,,,,
62,1827,,,,,
60,7024,,,,,
57,36472,,,,,
70,5102,,,,,
79,67125,,,,,
65,3098,,,,,
59,21645,,,,,
53,839,,,,,
58,5737,,,,,
70,10632,,,,,
65,8806,,,,,
59,9077,,,,,
