gender,followers,,gender,followers,,gender,followers,,,
M,4947,,F,25174,,M,4947,,,
M,11565,,F,2918,,M,11565,,p-value,0.554183344
M,2649,,F,8275,,M,2649,,,
M,24929,,F,6641,,M,24929,,,
M,2143,,F,175742,,M,2143,,,
M,5786,,F,16430,,M,5786,,,
M,10844,,F,5651,,M,10844,,,
M,10357,,F,1540,,M,10357,,,
M,3684,,F,706,,M,3684,,,
M,2130,,F,1471,,M,2130,,,
M,23410,,F,4922,,M,23410,,,
M,468004,,F,2795,,M,468004,,,
F,25174,,F,22362,,M,7951,,,
M,7951,,F,3808,,M,27829,,,
F,2918,,F,5530,,M,18185,,,
M,27829,,F,4482,,M,4501,,,
M,18185,,F,5157,,M,12721,,,
M,4501,,F,7224,,M,3583,,,
M,12721,,F,7653,,M,3789,,,
M,3583,,F,677,,M,10778,,,
F,8275,,F,1358,,M,582,,,
M,3789,,F,4445,,M,1104,,,
F,6641,,F,9879,,M,4953,,,
M,10778,,F,7949,,M,2378,,,
M,582,,F,1061,,M,7788,,,
M,1104,,F,16245,,M,14784,,,
M,4953,,F,9406,,M,12600,,,
M,2378,,F,7111,,M,8079,,,
F,175742,,F,676,,M,9965,,,
M,7788,,F,1827,,M,10862,,,
M,14784,,F,5102,,M,10313,,,
M,12600,,F,764,,M,4055,,,
M,8079,,F,6785,,M,7990,,,
M,9965,,F,14044,,M,4611,,,
M,10862,,F,3268,,M,3757,,,
M,10313,,F,4019,,M,8972,,,
M,4055,,F,3258,,M,993,,,
F,16430,,F,2571,,M,778,,,
M,7990,,F,1407,,M,902,,,
F,5651,,F,6766,,M,1437,,,
M,4611,,F,5705,,M,880,,,
M,3757,,F,9397,,M,2575,,,
M,8972,,F,1040,,M,12167,,,
F,1540,,F,814,,M,14860,,,
M,993,,F,1021,,M,6337,,,
M,778,,F,2672,,M,3170,,,
M,902,,F,4637,,M,5096,,,
M,1437,,F,7399,,M,16736,,,
F,706,,F,9008,,M,8809,,,
F,1471,,F,7024,,M,2177,,,
M,880,,F,621,,M,62467,,,
M,2575,,F,4806,,M,3352,,,
M,12167,,F,4349,,M,7127,,,
F,4922,,F,17446,,M,3882,,,
M,14860,,F,12497,,M,2904,,,
M,6337,,F,2646,,M,3694,,,
M,3170,,F,6641,,M,5517,,,
M,5096,,F,15964,,M,142391,,,
F,2795,,F,14279,,M,4469,,,
M,16736,,F,7883,,M,8317,,,
M,8809,,F,4421,,M,3362,,,
M,2177,,F,3972,,M,40188,,,
M,62467,,F,1082,,M,740,,,
M,3352,,F,9051,,M,6667,,,
M,7127,,F,3670,,M,2252,,,
M,3882,,F,10298,,M,4210,,,
M,2904,,F,484,,M,3300,,,
F,22362,,F,320304,,M,6615,,,
F,3808,,F,8243,,M,5794,,,
M,3694,,F,16022,,M,10227,,,
M,5517,,F,1081,,M,15006,,,
M,142391,,F,6132,,M,5571,,,
F,5530,,F,11780,,M,36428,,,
M,4469,,F,6089,,M,9456,,,
M,8317,,F,10590,,M,4266,,,
M,3362,,F,10339,,M,4075,,,
M,40188,,F,3009,,M,313,,,
M,740,,F,640,,M,3897,,,
M,6667,,F,8337,,M,1437,,,
M,2252,,F,9854,,M,643,,,
M,4210,,F,3593,,M,7211,,,
M,3300,,F,1919,,M,519,,,
F,4482,,F,4288,,M,449,,,
M,6615,,F,2467,,M,244,,,
M,5794,,F,2482,,M,940,,,
M,10227,,F,16922,,M,623,,,
M,15006,,F,3978,,M,42669,,,
M,5571,,F,1405,,M,4788,,,
M,36428,,F,625,,M,6471,,,
M,9456,,F,15942,,M,6174,,,
M,4266,,,,,M,5159,,,
F,5157,,,,,M,25276,,,
M,4075,,,,,M,4373,,,
M,313,,,,,M,5864,,,
M,3897,,,,,M,5252,,,
M,1437,,,,,M,3525,,,
M,643,,,,,M,7519,,,
M,7211,,,,,M,6270,,,
M,519,,,,,M,3457,,,
M,449,,,,,M,758,,,
M,244,,,,,M,784,,,
M,940,,,,,M,605,,,
M,623,,,,,M,1280,,,
M,42669,,,,,M,2780,,,
M,4788,,,,,M,1975,,,
F,7224,,,,,M,41199,,,
F,7653,,,,,M,260,,,
M,6471,,,,,M,4002,,,
M,6174,,,,,M,6917,,,
M,5159,,,,,M,17109,,,
M,25276,,,,,M,9580,,,
M,4373,,,,,M,8980,,,
M,5864,,,,,M,7194,,,
M,5252,,,,,M,3331,,,
M,3525,,,,,M,598,,,
M,7519,,,,,M,6450,,,
M,6270,,,,,M,2943,,,
M,3457,,,,,M,3546,,,
F,677,,,,,M,4496,,,
M,758,,,,,M,5245,,,
M,784,,,,,M,7024,,,
M,605,,,,,M,36472,,,
M,1280,,,,,M,67125,,,
F,1358,,,,,M,3098,,,
M,2780,,,,,M,21645,,,
F,4445,,,,,M,839,,,
M,1975,,,,,M,5737,,,
M,41199,,,,,M,10632,,,
F,9879,,,,,M,8806,,,
F,7949,,,,,M,9077,,,
M,260,,,,,M,3449,,,
F,1061,,,,,M,6779,,,
M,4002,,,,,M,6102,,,
M,6917,,,,,M,2716,,,
F,16245,,,,,M,4289,,,
M,17109,,,,,M,2877,,,
M,9580,,,,,M,6400,,,
M,8980,,,,,M,11319,,,
M,7194,,,,,M,7184,,,
F,9406,,,,,M,3740,,,
M,3331,,,,,M,3145,,,
M,598,,,,,M,628,,,
F,7111,,,,,M,10824,,,
M,6450,,,,,M,1789,,,
M,2943,,,,,M,5005,,,
