gender,followers per capita,,gender,followers per capita,,gender,followers per capita,,,,,
M,0.001,,F,0.0007,,M,0.001,,,,,
M,0.0018,,F,0.0002,,M,0.0018,,,,,
M,0.0006,,F,0.0013,,M,0.0006,,,p-value,0.353873052,"(two-tail, assuming different standard deviations)"
M,0.0025,,F,0.0327,,M,0.0025,,,,,
M,0.0008,,F,0.0004,,M,0.0008,,,,,
M,0.0012,,F,0.0009,,M,0.0012,,,,,
M,0.0004,,F,0.0004,,M,0.0004,,,,,
M,0.0003,,F,0.0001,,M,0.0003,,,,,
M,0.0004,,F,0.0001,,M,0.0004,,,,,
M,0.0005,,F,0.0007,,M,0.0005,,,,,
M,0.0039,,F,0.0168,,M,0.0039,,,,,
M,0.0405,,F,0.0001,,M,0.0405,,,,,
F,0.0007,,F,0.003,,M,0.0003,,,,,
M,0.0003,,F,0.0002,,M,0.0024,,,,,
F,0.0002,,F,0.0001,,M,0.0019,,,,,
M,0.0024,,F,0.0014,,M,0.0004,,,,,
M,0.0019,,F,0.0021,,M,0.0043,,,,,
M,0.0004,,F,0.0001,,M,0.0002,,,,,
M,0.0043,,F,0.0001,,M,0.0008,,,,,
M,0.0002,,F,0.0001,,M,0.0004,,,,,
F,0.0013,,F,0.0017,,M,0.0002,,,,,
M,0.0008,,F,0.0008,,M,0.0001,,,,,
M,0.0004,,F,0.0003,,M,0.0005,,,,,
M,0.0002,,F,0.0004,,M,0.0005,,,,,
M,0.0001,,F,0.001,,M,0.0004,,,,,
M,0.0005,,F,0.0006,,M,0.0048,,,,,
M,0.0005,,F,0,,M,0.0007,,,,,
F,0.0327,,F,0.001,,M,0.014,,,,,
M,0.0004,,F,0.0002,,M,0.001,,,,,
M,0.0048,,F,0.0005,,M,0.0148,,,,,
M,0.0007,,F,0.0049,,M,0.002,,,,,
M,0.014,,F,0.0014,,M,0.0003,,,,,
M,0.001,,F,0.0023,,M,0.0008,,,,,
M,0.0148,,F,0.0007,,M,0.001,,,,,
M,0.002,,F,0.0005,,M,0.0006,,,,,
M,0.0003,,F,0.0001,,M,0.0025,,,,,
F,0.0004,,F,0.002,,M,0.0002,,,,,
M,0.0008,,F,0.0003,,M,0.0001,,,,,
F,0.0009,,F,0.0002,,M,0.0002,,,,,
M,0.001,,F,0.0033,,M,0.0004,,,,,
M,0.0006,,F,0.0001,,M,0,,,,,
M,0.0025,,F,0.0001,,M,0.0001,,,,,
F,0.0004,,F,0.0008,,M,0.0012,,,,,
M,0.0002,,F,0.0001,,M,0.0025,,,,,
M,0.0001,,F,0.0002,,M,0.0069,,,,,
M,0.0002,,F,0.0016,,M,0.0003,,,,,
M,0.0004,,F,0.0002,,M,0.0005,,,,,
