followers,18 to 24,,,,,
4947,0.1002,,,,,
11565,0.0955,,,,,
2649,0.1048,,slope,-9.03367E-10,0.099621263,intercept
24929,0.0985,,plus or minus,2.82205E-09,0.000255831,plus or minus
2143,0.0922,,r^2,0.000219845,0.005460354,s(y)
5786,0.1002,,F,0.102470253,466,degrees of freedom
10844,0.1023,,regression ss,3.0552E-06,0.013894006,residual ss
10357,0.1053,,,,,
3684,0.1001,,,,,
2130,0.0937,,,,,
23410,0.0983,,,,,
468004,0.0953,,,,,
25174,0.1053,,,,,
7951,0.1023,,,,,
2918,0.0925,,,,,
27829,0.0953,,,,,
18185,0.0985,,,,,
4501,0.0993,,,,,
12721,0.0974,,,,,
3583,0.1024,,,,,
8275,0.0955,,,,,
3789,0.1002,,,,,
10778,0.1023,,,,,
582,0.1151,,,,,
1104,0.0985,,,,,
4953,0.1001,,,,,
2378,0.1048,,,,,
175742,0.0948,,,,,
7788,0.0925,,,,,
14784,0.1005,,,,,
12600,0.0925,,,,,
8079,0.0993,,,,,
9965,0.1001,,,,,
10862,0.1056,,,,,
10313,0.097,,,,,
4055,0.0993,,,,,
16430,0.1053,,,,,
7990,0.0985,,,,,
5651,0.0955,,,,,
4611,0.1002,,,,,
3757,0.1002,,,,,
8972,0.0915,,,,,
1540,0.0937,,,,,
993,0.099,,,,,
778,0.0985,,,,,
902,0.0952,,,,,
1437,0.1016,,,,,
706,0.1002,,,,,
1471,0.0971,,,,,
880,0.1053,,,,,
2575,0.1053,,,,,
12167,0.0985,,,,,
4922,0.0967,,,,,
14860,0.0965,,,,,
6337,0.1013,,,,,
3170,0.0953,,,,,
5096,0.1001,,,,,
16736,0.1029,,,,,
8809,0.1002,,,,,
2177,0.0985,,,,,
62467,0.1016,,,,,
3352,0.1028,,,,,
7127,0.0985,,,,,
3882,0.0955,,,,,
2904,0.0982,,,,,
22362,0.0873,,,,,
3808,0.1053,,,,,
3694,0.1024,,,,,
5517,0.0925,,,,,
142391,0.1002,,,,,
5530,0.0912,,,,,
4469,0.1023,,,,,
8317,0.1023,,,,,
3362,0.1016,,,,,
40188,0.1023,,,,,
740,0.1053,,,,,
6667,0.0983,,,,,
2252,0.1023,,,,,
4210,0.1023,,,,,
3300,0.1053,,,,,
4482,0.1024,,,,,
6615,0.0955,,,,,
5794,0.0915,,,,,
10227,0.0993,,,,,
15006,0.0955,,,,,
5571,0.1002,,,,,
36428,0.1151,,,,,
9456,0.097,,,,,
4266,0.1002,,,,,
5157,0.1053,,,,,
4075,0.1013,,,,,
313,0.114,,,,,
3897,0.0974,,,,,
1437,0.1013,,,,,
643,0.0993,,,,,
7211,0.1023,,,,,
519,0.1024,,,,,
449,0.1001,,,,,
244,0.1053,,,,,
940,0.0974,,,,,
623,0.1204,,,,,
42669,0.1023,,,,,
4788,0.0937,,,,,
7224,0.097,,,,,
7653,0.0915,,,,,
6471,0.0985,,,,,
6174,0.1023,,,,,
5159,0.0993,,,,,
25276,0.0971,,,,,
4373,0.0925,,,,,
5864,0.1002,,,,,
5252,0.0925,,,,,
3525,0.1053,,,,,
7519,0.0965,,,,,
6270,0.1029,,,,,
3457,0.0955,,,,,
677,0.0967,,,,,
758,0.0961,,,,,
784,0.0971,,,,,
605,0.0965,,,,,
1280,0.0925,,,,,
1358,0.0971,,,,,
2780,0.1024,,,,,
4445,0.1053,,,,,
1975,0.0993,,,,,
41199,0.0948,,,,,
9879,0.0965,,,,,
7949,0.0985,,,,,
260,0.0971,,,,,
1061,0.0915,,,,,
4002,0.1053,,,,,
6917,0.0993,,,,,
16245,0.1053,,,,,
17109,0.099,,,,,
9580,0.1002,,,,,
8980,0.099,,,,,
7194,0.1002,,,,,
9406,0.0985,,,,,
3331,0.0993,,,,,
598,0.0971,,,,,
7111,0.0953,,,,,
6450,0.1048,,,,,
2943,0.0955,,,,,
3546,0.0955,,,,,
4496,0.1023,,,,,
5245,0.1023,,,,,
676,0.0925,,,,,
1827,0.1002,,,,,
7024,0.1002,,,,,
36472,0.1029,,,,,
5102,0.1023,,,,,
67125,0.1005,,,,,
3098,0.1023,,,,,
21645,0.0971,,,,,
839,0.0872,,,,,
5737,0.0993,,,,,
10632,0.1001,,,,,
8806,0.099,,,,,
9077,0.1023,,,,,
3449,0.1023,,,,,
6779,0.1053,,,,,
6102,0.1001,,,,,
2716,0.097,,,,,
4289,0.0953,,,,,
2877,0.1024,,,,,
6400,0.099,,,,,
11319,0.1029,,,,,
7184,0.0974,,,,,
3740,0.1002,,,,,
3145,0.1024,,,,,
764,0.0956,,,,,
628,0.1023,,,,,
10824,0.1005,,,,,
1789,0.0967,,,,,
5005,0.1151,,,,,
3030,0.1023,,,,,
29430,0.0965,,,,,
9580,0.1053,,,,,
8113,0.1023,,,,,
8704,0.1024,,,,,
5385,0.0922,,,,,
6785,0.0956,,,,,
8545,0.1028,,,,,
852,0.0991,,,,,
9149,0.0915,,,,,
14044,0.0985,,,,,
3268,0.0956,,,,,
3866,0.1024,,,,,
921,0.0965,,,,,
4019,0.0983,,,,,
4159,0.0922,,,,,
3258,0.0967,,,,,
