following,18 to 24,,,,,
62,0.1002,,,,,
352,0.0955,,,,,
201,0.1048,,,,,
1389,0.0985,,,,,
1177,0.0922,,,,,
2,0.1002,,slope,1.35092E-07,0.09944092,intercept
58,0.1023,,plus or minus,8.81408E-08,0.000274359,plus or minus
1792,0.1053,,r^2,0.005015747,0.005447241,s(y)
426,0.1001,,F,2.349120476,466,degrees of freedom
247,0.0937,,regression ss,6.97041E-05,0.013827357,residual ss
7716,0.0983,,,,,
13700,0.0953,,,,,
76,0.1053,,,,,
223,0.1023,,,,,
143,0.0925,,,,,
39,0.0953,,,,,
3852,0.0985,,,,,
546,0.0993,,,,,
272,0.0974,,,,,
1969,0.1024,,,,,
1781,0.0955,,,,,
443,0.1002,,,,,
698,0.1023,,,,,
95,0.1151,,,,,
125,0.0985,,,,,
154,0.1001,,,,,
116,0.1048,,,,,
3955,0.0948,,,,,
1180,0.0925,,,,,
11417,0.1005,,,,,
10741,0.0925,,,,,
352,0.0993,,,,,
2176,0.1001,,,,,
484,0.1056,,,,,
49,0.097,,,,,
1666,0.0993,,,,,
14975,0.1053,,,,,
7752,0.0985,,,,,
1119,0.0955,,,,,
1984,0.1002,,,,,
681,0.1002,,,,,
327,0.0915,,,,,
803,0.0937,,,,,
5,0.099,,,,,
313,0.0985,,,,,
263,0.0952,,,,,
551,0.1016,,,,,
73,0.1002,,,,,
1762,0.0971,,,,,
37,0.1053,,,,,
68,0.1053,,,,,
6961,0.0985,,,,,
0,0.0967,,,,,
140,0.0965,,,,,
420,0.1013,,,,,
887,0.0953,,,,,
183,0.1001,,,,,
860,0.1029,,,,,
436,0.1002,,,,,
456,0.0985,,,,,
139,0.1016,,,,,
296,0.1028,,,,,
468,0.0985,,,,,
257,0.0955,,,,,
329,0.0982,,,,,
518,0.0873,,,,,
693,0.1053,,,,,
196,0.1024,,,,,
113,0.0925,,,,,
8872,0.1002,,,,,
805,0.0912,,,,,
604,0.1023,,,,,
2863,0.1023,,,,,
33,0.1016,,,,,
8364,0.1023,,,,,
263,0.1053,,,,,
348,0.0983,,,,,
1422,0.1023,,,,,
1390,0.1023,,,,,
275,0.1053,,,,,
