followers,65 and over,,,,,
4947,14,,,,,
11565,13,,,,,
2649,12,,,,,
24929,14,,slope,5.46493E-07,12.94491099,intercept
2143,12,,plus or minus,9.20379E-07,0.083436085,plus or minus
5786,14,,r^2,0.000756001,1.780827623,s(y)
10844,10,,F,0.352562945,466,degrees of freedom
10357,11,,regression ss,1.118099445,1477.847713,residual ss
3684,11,,,,,
2130,14,,,,,
23410,14,,,,,
468004,14,,,,,
25174,11,,,,,
7951,10,,,,,
2918,17,,,,,
27829,14,,,,,
18185,13,,,,,
4501,15,,,,,
12721,14,,,,,
3583,14,,,,,
8275,13,,,,,
3789,14,,,,,
10778,10,,,,,
582,9,,,,,
1104,13,,,,,
4953,11,,,,,
2378,12,,,,,
175742,13,,,,,
7788,17,,,,,
14784,15,,,,,
12600,17,,,,,
8079,12,,,,,
9965,11,,,,,
10862,8,,,,,
10313,11,,,,,
4055,15,,,,,
16430,11,,,,,
7990,14,,,,,
5651,13,,,,,
4611,14,,,,,
3757,13,,,,,
8972,14,,,,,
1540,14,,,,,
993,14,,,,,
778,14,,,,,
902,13,,,,,
1437,14,,,,,
706,13,,,,,
1471,13,,,,,
880,11,,,,,
2575,11,,,,,
12167,14,,,,,
4922,12,,,,,
14860,12,,,,,
6337,14,,,,,
3170,14,,,,,
5096,11,,,,,
16736,14,,,,,
8809,13,,,,,
2177,13,,,,,
62467,14,,,,,
3352,13,,,,,
7127,14,,,,,
3882,13,,,,,
2904,12,,,,,
22362,16,,,,,
3808,11,,,,,
3694,14,,,,,
5517,17,,,,,
142391,12,,,,,
5530,16,,,,,
4469,10,,,,,
8317,10,,,,,
3362,14,,,,,
40188,10,,,,,
740,11,,,,,
6667,14,,,,,
2252,10,,,,,
4210,10,,,,,
3300,11,,,,,
4482,14,,,,,
6615,13,,,,,
5794,14,,,,,
10227,15,,,,,
15006,13,,,,,
5571,13,,,,,
36428,9,,,,,
9456,11,,,,,
4266,12,,,,,
5157,11,,,,,
4075,14,,,,,
313,14,,,,,
3897,14,,,,,
1437,14,,,,,
643,15,,,,,
7211,10,,,,,
519,14,,,,,
449,11,,,,,
244,11,,,,,
940,14,,,,,
623,14,,,,,
42669,10,,,,,
4788,14,,,,,
7224,11,,,,,
7653,14,,,,,
6471,14,,,,,
6174,10,,,,,
5159,15,,,,,
25276,13,,,,,
4373,17,,,,,
5864,13,,,,,
5252,17,,,,,
3525,11,,,,,
7519,14,,,,,
6270,14,,,,,
3457,13,,,,,
677,12,,,,,
758,15,,,,,
784,13,,,,,
605,12,,,,,
1280,17,,,,,
1358,13,,,,,
2780,14,,,,,
4445,11,,,,,
1975,12,,,,,
41199,13,,,,,
9879,12,,,,,
7949,13,,,,,
260,13,,,,,
1061,14,,,,,
4002,11,,,,,
6917,15,,,,,
16245,11,,,,,
17109,14,,,,,
9580,12,,,,,
8980,14,,,,,
7194,14,,,,,
9406,13,,,,,
3331,15,,,,,
598,13,,,,,
7111,14,,,,,
6450,12,,,,,
2943,13,,,,,
3546,13,,,,,
4496,10,,,,,
5245,10,,,,,
676,17,,,,,
1827,14,,,,,
7024,12,,,,,
36472,14,,,,,
5102,10,,,,,
67125,15,,,,,
3098,10,,,,,
21645,13,,,,,
839,13,,,,,
5737,15,,,,,
10632,11,,,,,
8806,14,,,,,
9077,10,,,,,
3449,10,,,,,
6779,11,,,,,
6102,11,,,,,
2716,11,,,,,
4289,14,,,,,
2877,14,,,,,
6400,14,,,,,
11319,14,,,,,
7184,14,,,,,
3740,12,,,,,
3145,14,,,,,
764,14,,,,,
628,10,,,,,
10824,15,,,,,
1789,12,,,,,
5005,9,,,,,
3030,10,,,,,
29430,12,,,,,
9580,11,,,,,
8113,10,,,,,
8704,14,,,,,
5385,12,,,,,
6785,14,,,,,
8545,13,,,,,
852,13,,,,,
9149,14,,,,,
14044,13,,,,,
3268,14,,,,,
3866,14,,,,,
921,12,,,,,
4019,14,,,,,
4159,12,,,,,
3258,12,,,,,
5410,13,,,,,
4927,14,,,,,
4175,13,,,,,
3822,12,,,,,
2141,14,,,,,
2571,11,,,,,
470,12,,,,,
622,13,,,,,
1386,12,,,,,
1182,13,,,,,
458,11,,,,,
1407,14,,,,,
7189,14,,,,,
80078,11,,,,,
10098,14,,,,,
6766,10,,,,,
5705,10,,,,,
1734,10,,,,,
5723,14,,,,,
7919,13,,,,,
6913,11,,,,,
13142,14,,,,,
9397,13,,,,,
5669,14,,,,,
3966,14,,,,,
13689,14,,,,,
965,14,,,,,
1040,14,,,,,
4165,14,,,,,
12496,14,,,,,
7676,11,,,,,
17001,13,,,,,
14487,15,,,,,
4689,13,,,,,
814,14,,,,,
2796,14,,,,,
658,15,,,,,
6059,13,,,,,
3246,14,,,,,
2297,14,,,,,
556,12,,,,,
1021,14,,,,,
1742,16,,,,,
8149,15,,,,,
10793,13,,,,,
11084,15,,,,,
9647,14,,,,,
6962,14,,,,,
20497,11,,,,,
2672,11,,,,,
