following,65 and over,,,,,
62,14,,,,,
352,13,,,,,
201,12,,,,,
1389,14,,,,,
1177,12,,slope,-2.01804E-05,12.97793639,intercept
2,14,,plus or minus,2.8811E-05,0.089680925,plus or minus
58,10,,r^2,0.001051726,1.780564086,s(y)
1792,11,,F,0.490620486,466,degrees of freedom
426,11,,regression ss,1.555467342,1477.410345,residual ss
247,14,,,,,
7716,14,,,,,
13700,14,,,,,
76,11,,,,,
223,10,,,,,
143,17,,,,,
39,14,,,,,
3852,13,,,,,
546,15,,,,,
272,14,,,,,
1969,14,,,,,
1781,13,,,,,
443,14,,,,,
698,10,,,,,
95,9,,,,,
125,13,,,,,
154,11,,,,,
116,12,,,,,
3955,13,,,,,
1180,17,,,,,
11417,15,,,,,
10741,17,,,,,
352,12,,,,,
2176,11,,,,,
484,8,,,,,
49,11,,,,,
1666,15,,,,,
14975,11,,,,,
7752,14,,,,,
1119,13,,,,,
1984,14,,,,,
681,13,,,,,
327,14,,,,,
803,14,,,,,
5,14,,,,,
313,14,,,,,
263,13,,,,,
551,14,,,,,
73,13,,,,,
1762,13,,,,,
37,11,,,,,
68,11,,,,,
6961,14,,,,,
0,12,,,,,
140,12,,,,,
420,14,,,,,
887,14,,,,,
183,11,,,,,
860,14,,,,,
436,13,,,,,
456,13,,,,,
139,14,,,,,
296,13,,,,,
468,14,,,,,
257,13,,,,,
329,12,,,,,
518,16,,,,,
693,11,,,,,
196,14,,,,,
113,17,,,,,
8872,12,,,,,
805,16,,,,,
604,10,,,,,
2863,10,,,,,
33,14,,,,,
8364,10,,,,,
263,11,,,,,
348,14,,,,,
1422,10,,,,,
1390,10,,,,,
275,11,,,,,
2282,14,,,,,
296,13,,,,,
1735,14,,,,,
169,15,,,,,
363,13,,,,,
522,13,,,,,
22141,9,,,,,
1467,11,,,,,
153,12,,,,,
816,11,,,,,
728,14,,,,,
66,14,,,,,
298,14,,,,,
103,14,,,,,
408,15,,,,,
396,10,,,,,
30,14,,,,,
291,11,,,,,
69,11,,,,,
209,14,,,,,
210,14,,,,,
1875,10,,,,,
542,14,,,,,
7052,11,,,,,
602,14,,,,,
954,14,,,,,
265,10,,,,,
29,15,,,,,
684,13,,,,,
134,17,,,,,
249,13,,,,,
834,17,,,,,
1058,11,,,,,
2560,14,,,,,
1118,14,,,,,
398,13,,,,,
193,12,,,,,
37,15,,,,,
311,13,,,,,
71,12,,,,,
947,17,,,,,
1278,13,,,,,
229,14,,,,,
225,11,,,,,
234,12,,,,,
1549,13,,,,,
187,12,,,,,
4373,13,,,,,
11,13,,,,,
396,14,,,,,
405,11,,,,,
875,15,,,,,
122,11,,,,,
199,14,,,,,
5062,12,,,,,
1183,14,,,,,
2109,14,,,,,
1214,13,,,,,
25,15,,,,,
1012,13,,,,,
1122,14,,,,,
165,12,,,,,
499,13,,,,,
620,13,,,,,
708,10,,,,,
1230,10,,,,,
