following per capita,65 and over,,,,,
0.00001297,14,,,,,
0.00005547,13,,,,,
0.00004434,12,,,,,
0.00014053,14,,,,,
0.00043576,12,,slope,-19.16792082,12.95713038,intercept
0.00000042,14,,plus or minus,109.9537262,0.085701604,plus or minus
0.00000231,10,,r^2,6.52103E-05,1.781443071,s(y)
0.0000481,11,,F,0.030389959,466,degrees of freedom
0.00004397,11,,regression ss,0.096443732,1478.869368,residual ss
0.00006447,14,,,,,
0.00128836,14,,,,,
0.00118748,14,,,,,
0.00000204,11,,,,,
0.00000887,10,,,,,
0.00000761,17,,,,,
0.00000338,14,,,,,
0.00040399,13,,,,,
0.00004299,15,,,,,
0.00009328,14,,,,,
0.00010161,14,,,,,
0.00028065,13,,,,,
0.00009268,14,,,,,
0.00002776,10,,,,,
0.00003437,9,,,,,
0.00001311,13,,,,,
0.0000159,11,,,,,
0.00002559,12,,,,,
0.00074566,13,,,,,
0.00006276,17,,,,,
0.00374819,15,,,,,
0.0005713,17,,,,,
0.00062411,12,,,,,
0.00022461,11,,,,,
0.00068169,8,,,,,
0.00000974,11,,,,,
0.00013116,15,,,,,
0.00040197,11,,,,,
0.0007843,14,,,,,
0.00017633,13,,,,,
0.00041506,14,,,,,
0.00010503,13,,,,,
0.00009149,14,,,,,
0.00020961,14,,,,,
0.00000078,14,,,,,
0.00003167,14,,,,,
0.00006061,13,,,,,
0.00014689,14,,,,,
0.00001126,13,,,,,
0.00013732,13,,,,,
0.00000099,11,,,,,
0.00000183,11,,,,,
0.00070427,14,,,,,
0,12,,,,,
0.00002425,12,,,,,
0.00046771,14,,,,,
0.00007688,14,,,,,
0.00001889,11,,,,,
0.00018595,14,,,,,
0.00006724,13,,,,,
0.00004782,13,,,,,
0.00003706,14,,,,,
0.00009976,13,,,,,
0.00004735,14,,,,,
0.0000405,13,,,,,
0.00020982,12,,,,,
0.00039006,16,,,,,
0.0000186,11,,,,,
0.00001011,14,,,,,
0.00000601,17,,,,,
0.00110886,12,,,,,
0.00043443,16,,,,,
0.00002402,10,,,,,
0.00011386,10,,,,,
0.0000088,14,,,,,
0.00033262,10,,,,,
0.00000706,11,,,,,
0.00005811,14,,,,,
0.00005655,10,,,,,
0.00005528,10,,,,,
0.00000738,11,,,,,
0.00011776,14,,,,,
0.00004664,13,,,,,
0.00048545,14,,,,,
0.0000133,15,,,,,
0.0000572,13,,,,,
0.00008051,13,,,,,
0.00801049,9,,,,,
0.00029171,11,,,,,
0.00001912,12,,,,,
0.0000219,11,,,,,
0.00081069,14,,,,,
0.00006268,14,,,,,
0.00010219,14,,,,,
0.0001147,14,,,,,
0.00003212,15,,,,,
0.00001575,10,,,,,
0.00000155,14,,,,,
0.00003004,11,,,,,
0.00000185,11,,,,,
0.00007167,14,,,,,
0.00031204,14,,,,,
0.00007456,10,,,,,
0.00014148,14,,,,,
0.00140227,11,,,,,
0.00016844,14,,,,,
0.00009652,14,,,,,
0.00001054,10,,,,,
0.00000228,15,,,,,
0.00005331,13,,,,,
0.00000713,17,,,,,
0.0000384,13,,,,,
0.00004436,17,,,,,
0.0000284,11,,,,,
0.00045015,14,,,,,
0.00024173,14,,,,,
0.00006272,13,,,,,
0.0000287,12,,,,,
0.00003741,15,,,,,
0.00002424,13,,,,,
0.0000123,12,,,,,
0.00005037,17,,,,,
0.0000996,13,,,,,
0.00001182,14,,,,,
0.00000604,11,,,,,
0.00041489,12,,,,,
0.00029204,13,,,,,
0.00003239,12,,,,,
0.00045863,13,,,,,
0.00000086,13,,,,,
0.0001108,14,,,,,
0.00001087,11,,,,,
0.00006889,15,,,,,
0.00000327,11,,,,,
0.00003113,14,,,,,
0.00063267,12,,,,,
0.00018508,14,,,,,
0.00115498,14,,,,,
0.00012732,13,,,,,
0.00000197,15,,,,,
0.00007887,13,,,,,
0.00009725,14,,,,,
0.0000364,12,,,,,
0.00007863,13,,,,,
0.0000977,13,,,,,
0.00002816,10,,,,,
0.00004891,10,,,,,
0.00000888,17,,,,,
0.00005476,14,,,,,
0.000018,12,,,,,
0.00046357,14,,,,,
0.00003523,10,,,,,
0.00490742,15,,,,,
0.00000195,10,,,,,
0.00001185,13,,,,,
0.00001217,13,,,,,
0.00001449,15,,,,,
0.00010611,11,,,,,
0.00003489,14,,,,,
0.00001066,10,,,,,
0.00000084,10,,,,,
0.00016122,11,,,,,
0.00031038,11,,,,,
0.00007994,11,,,,,
0.00028058,14,,,,,
0.00000831,14,,,,,
0.00037797,14,,,,,
