tweets,65 and over,,,,
14.0233,14,,,,
12.3721,13,,,,
7,12,,,,
144.2593,14,,,,
24.4706,12,slope,0.00228507,12.86974856,intercept
8.8095,14,plus or minus,0.002654704,0.126977302,plus or minus
13.52,10,r^2,0.001587417,1.780086604,s(y)
25.4722,11,F,0.740912673,466,degrees of freedom
18.3846,11,regression ss,2.347736149,1476.618076,residual ss
7.7143,14,,,,
52.82,14,,,,
151.1739,14,,,,
17.1754,11,,,,
40.36,10,,,,
23.5652,17,,,,
17.1277,14,,,,
19.42,13,,,,
11.0571,15,,,,
12.7917,14,,,,
13.7059,14,,,,
41.5,13,,,,
16.6774,14,,,,
44.875,10,,,,
0,9,,,,
15.625,13,,,,
8.898,11,,,,
5.1154,12,,,,
38.3846,13,,,,
42.7347,17,,,,
78.7917,15,,,,
27.6,17,,,,
31.5333,12,,,,
16.2941,11,,,,
57.6429,8,,,,
22.7857,11,,,,
32.8889,15,,,,
39,11,,,,
5.2308,14,,,,
33.3684,13,,,,
9.0741,14,,,,
63.3333,13,,,,
52.0833,14,,,,
19.9091,14,,,,
30.3333,14,,,,
15.25,14,,,,
48,13,,,,
96.5,14,,,,
24.6667,13,,,,
66,13,,,,
39.25,11,,,,
23.3,11,,,,
28.6327,14,,,,
6.3421,12,,,,
46.6316,12,,,,
68.1923,14,,,,
15.8148,14,,,,
38.25,11,,,,
15.6129,14,,,,
39,13,,,,
22.9545,13,,,,
15.3654,14,,,,
20.8182,13,,,,
12.3714,14,,,,
8.16,13,,,,
152.8,12,,,,
12.8235,16,,,,
40.4783,11,,,,
14.2105,14,,,,
8.62,17,,,,
96.2941,12,,,,
21.5161,16,,,,
10.7143,10,,,,
48,10,,,,
1.0204,14,,,,
144.2097,10,,,,
11.2308,11,,,,
20.6364,14,,,,
18.0435,10,,,,
26.8966,10,,,,
11.7692,11,,,,
69,14,,,,
25.3333,13,,,,
58.0476,14,,,,
14.125,15,,,,
21.0233,13,,,,
33.8,13,,,,
68.3962,9,,,,
25.3333,11,,,,
44.9762,12,,,,
25.4194,11,,,,
37.2222,14,,,,
2.0667,14,,,,
15.7037,14,,,,
76.9375,14,,,,
60.8571,15,,,,
14.4074,10,,,,
76.3333,14,,,,
74,11,,,,
4.3333,11,,,,
35.75,14,,,,
41,14,,,,
102.6667,10,,,,
7.0385,14,,,,
15,11,,,,
41.4571,14,,,,
43.0526,14,,,,
25.4412,10,,,,
7.2128,15,,,,
65.3846,13,,,,
21,17,,,,
23.4828,13,,,,
21.5714,17,,,,
40.3077,11,,,,
34.2963,14,,,,
37.8519,14,,,,
26.5185,13,,,,
31.25,12,,,,
1.0781,15,,,,
52.5,13,,,,
40.4,12,,,,
114.3333,17,,,,
61.6667,13,,,,
10.697,14,,,,
17.9231,11,,,,
15.4348,12,,,,
73.623,13,,,,
43.0952,12,,,,
82.2414,13,,,,
8.6667,13,,,,
43,14,,,,
10.0294,11,,,,
91.913,15,,,,
45.1429,11,,,,
8.1964,14,,,,
36.2931,12,,,,
16.7143,14,,,,
20.1961,14,,,,
31.7455,13,,,,
17.4074,15,,,,
73.5,13,,,,
35.2353,14,,,,
15.2381,12,,,,
24.5769,13,,,,
33.6667,13,,,,
48.6154,10,,,,
64.4074,10,,,,
44.6667,17,,,,
46.6667,14,,,,
30.0213,12,,,,
37.8983,14,,,,
26.2424,10,,,,
39.5385,15,,,,
4.1053,10,,,,
34.7917,13,,,,
51.25,13,,,,
12.3404,15,,,,
31.4583,11,,,,
22.4792,14,,,,
33.16,10,,,,
4.1471,10,,,,
126.439,11,,,,
51.3548,11,,,,
15.8889,11,,,,
39.4074,14,,,,
3.8519,14,,,,
99.1852,14,,,,
34.3704,14,,,,
151.5667,14,,,,
20.3333,12,,,,
6.8148,14,,,,
29.3333,14,,,,
103.3333,10,,,,
43.6316,15,,,,
22,12,,,,
33.08,9,,,,
24.9259,10,,,,
77.28,12,,,,
12.2364,11,,,,
7.1569,10,,,,
78.0625,14,,,,
49.8,12,,,,
66.3659,14,,,,
26.6735,13,,,,
63,13,,,,
60.5,14,,,,
44.814,13,,,,
21.5185,14,,,,
48.2593,14,,,,
65.5,12,,,,
54.963,14,,,,
53,12,,,,
3.0385,12,,,,
93.2593,13,,,,
88.2593,14,,,,
37.1852,13,,,,
40.6667,12,,,,
7.3889,14,,,,
26.15,11,,,,
42.3333,12,,,,
34.6667,13,,,,
15.8333,12,,,,
66.6,13,,,,
15,11,,,,
80.6667,14,,,,
70.1,14,,,,
275.46,11,,,,
21.42,14,,,,
17.0476,10,,,,
100.4545,10,,,,
6.4615,10,,,,
38.6538,14,,,,
13.4694,13,,,,
24.8776,11,,,,
14.5192,14,,,,
53.2745,13,,,,
18.3333,14,,,,
42.6207,14,,,,
24.4444,14,,,,
97.5,14,,,,
12.3636,14,,,,
9.5789,14,,,,
26.0769,14,,,,
19.9583,11,,,,
69.8966,13,,,,
13.3261,15,,,,
32.814,13,,,,
78,14,,,,
14.8148,14,,,,
14.2,15,,,,
18.5357,13,,,,
86,14,,,,
48.6667,14,,,,
19.6667,12,,,,
73.3333,14,,,,
64.6667,16,,,,
8.803,15,,,,
46.9167,13,,,,
62.7308,15,,,,
8.325,14,,,,
11.4082,14,,,,
15.6458,11,,,,
17,11,,,,
18.1071,14,,,,
50.7647,12,,,,
40.3846,11,,,,
40.1481,13,,,,
18.3696,14,,,,
14.3725,14,,,,
56.8824,12,,,,
7.8636,14,,,,
