followers,median age,,,,,
4947,38,,,,,
11565,38,,,,,
2649,36,,,,,
24929,39,,,,,
2143,36,,,,,
5786,38,,,,,
10844,34,,,,,
10357,35,,,,,
3684,35,,,,,
2130,38,,slope,-2.71601E-07,37.22410137,intercept
23410,38,,plus or minus,1.13465E-06,0.102860652,plus or minus
468004,39,,r^2,0.000122942,2.195418087,s(y)
25174,35,,F,0.057297953,466,degrees of freedom
7951,34,,regression ss,0.276168143,2246.055028,residual ss
2918,41,,,,,
27829,39,,,,,
18185,37,,,,,
4501,40,,,,,
12721,37,,,,,
3583,38,,,,,
8275,38,,,,,
3789,38,,,,,
10778,34,,,,,
582,29,,,,,
1104,37,,,,,
4953,35,,,,,
2378,36,,,,,
175742,37,,,,,
7788,41,,,,,
14784,38,,,,,
12600,41,,,,,
8079,37,,,,,
9965,35,,,,,
10862,34,,,,,
10313,36,,,,,
4055,40,,,,,
16430,35,,,,,
7990,39,,,,,
5651,38,,,,,
4611,38,,,,,
3757,37,,,,,
8972,40,,,,,
1540,38,,,,,
993,36,,,,,
778,39,,,,,
902,38,,,,,
1437,36,,,,,
706,37,,,,,
1471,37,,,,,
880,35,,,,,
2575,35,,,,,
12167,39,,,,,
4922,37,,,,,
14860,38,,,,,
6337,39,,,,,
3170,39,,,,,
5096,35,,,,,
16736,38,,,,,
8809,37,,,,,
2177,37,,,,,
62467,36,,,,,
3352,36,,,,,
7127,39,,,,,
3882,38,,,,,
2904,35,,,,,
22362,43,,,,,
3808,35,,,,,
3694,38,,,,,
5517,41,,,,,
142391,38,,,,,
5530,41,,,,,
4469,34,,,,,
8317,34,,,,,
3362,36,,,,,
40188,34,,,,,
740,35,,,,,
6667,38,,,,,
2252,34,,,,,
4210,34,,,,,
3300,35,,,,,
4482,38,,,,,
6615,38,,,,,
5794,40,,,,,
10227,40,,,,,
15006,38,,,,,
5571,37,,,,,
36428,29,,,,,
9456,36,,,,,
4266,38,,,,,
5157,35,,,,,
4075,39,,,,,
313,39,,,,,
3897,37,,,,,
1437,39,,,,,
643,40,,,,,
7211,34,,,,,
519,38,,,,,
449,35,,,,,
244,35,,,,,
940,37,,,,,
623,37,,,,,
42669,34,,,,,
4788,38,,,,,
7224,36,,,,,
7653,40,,,,,
6471,39,,,,,
6174,34,,,,,
5159,40,,,,,
25276,37,,,,,
4373,41,,,,,
5864,37,,,,,
5252,41,,,,,
3525,35,,,,,
7519,39,,,,,
6270,38,,,,,
3457,38,,,,,
677,37,,,,,
758,40,,,,,
784,37,,,,,
605,38,,,,,
1280,41,,,,,
1358,37,,,,,
2780,38,,,,,
4445,35,,,,,
1975,37,,,,,
41199,37,,,,,
9879,38,,,,,
7949,37,,,,,
260,37,,,,,
1061,40,,,,,
4002,35,,,,,
6917,40,,,,,
16245,35,,,,,
17109,36,,,,,
9580,38,,,,,
8980,36,,,,,
7194,36,,,,,
9406,37,,,,,
3331,40,,,,,
598,37,,,,,
7111,39,,,,,
6450,36,,,,,
2943,38,,,,,
3546,38,,,,,
4496,34,,,,,
5245,34,,,,,
676,41,,,,,
1827,36,,,,,
7024,38,,,,,
36472,38,,,,,
5102,34,,,,,
67125,38,,,,,
3098,34,,,,,
21645,37,,,,,
839,39,,,,,
5737,40,,,,,
10632,35,,,,,
8806,36,,,,,
9077,34,,,,,
3449,34,,,,,
6779,35,,,,,
6102,35,,,,,
2716,36,,,,,
4289,39,,,,,
2877,38,,,,,
6400,36,,,,,
11319,38,,,,,
7184,37,,,,,
3740,38,,,,,
3145,38,,,,,
764,39,,,,,
628,34,,,,,
10824,38,,,,,
1789,37,,,,,
5005,29,,,,,
3030,34,,,,,
29430,38,,,,,
9580,35,,,,,
8113,34,,,,,
8704,38,,,,,
5385,36,,,,,
6785,39,,,,,
8545,36,,,,,
852,37,,,,,
9149,40,,,,,
14044,37,,,,,
3268,39,,,,,
3866,38,,,,,
921,38,,,,,
4019,38,,,,,
4159,36,,,,,
3258,37,,,,,
5410,36,,,,,
4927,39,,,,,
4175,37,,,,,
3822,38,,,,,
2141,37,,,,,
2571,35,,,,,
470,37,,,,,
622,37,,,,,
1386,36,,,,,
1182,37,,,,,
458,35,,,,,
1407,37,,,,,
7189,36,,,,,
80078,35,,,,,
10098,38,,,,,
6766,34,,,,,
5705,34,,,,,
1734,34,,,,,
5723,37,,,,,
7919,37,,,,,
6913,35,,,,,
13142,39,,,,,
9397,36,,,,,
5669,36,,,,,
3966,39,,,,,
13689,39,,,,,
965,39,,,,,
1040,39,,,,,
4165,39,,,,,
12496,38,,,,,
7676,35,,,,,
17001,37,,,,,
14487,38,,,,,
4689,37,,,,,
814,36,,,,,
2796,39,,,,,
658,40,,,,,
6059,37,,,,,
3246,39,,,,,
2297,39,,,,,
556,37,,,,,
1021,41,,,,,
1742,43,,,,,
8149,38,,,,,
10793,39,,,,,
11084,42,,,,,
9647,39,,,,,
6962,39,,,,,
20497,35,,,,,
2672,35,,,,,
4637,38,,,,,
7399,36,,,,,
9008,35,,,,,
3172,39,,,,,
5735,40,,,,,
6093,39,,,,,
1735,37,,,,,
1754,39,,,,,
1048,36,,,,,
688,38,,,,,
11536,39,,,,,
5463,37,,,,,
7024,37,,,,,
4868,35,,,,,
6985,36,,,,,
25131,29,,,,,
367,35,,,,,
777,35,,,,,
621,37,,,,,
4806,38,,,,,
14193,39,,,,,
1798403,36,,,,,
4349,38,,,,,
7177,39,,,,,
13891,38,,,,,
6984,37,,,,,
3310,37,,,,,
10106,35,,,,,
24688,39,,,,,
17446,38,,,,,
8821,35,,,,,
7807,38,,,,,
9765,36,,,,,
12497,37,,,,,
5260,38,,,,,
2372,35,,,,,
6449,29,,,,,
2646,37,,,,,
6122,43,,,,,
6641,39,,,,,
3863,40,,,,,
15964,34,,,,,
10336,37,,,,,
4333,34,,,,,
8996,34,,,,,
14279,37,,,,,
7883,39,,,,,
4421,35,,,,,
34831,35,,,,,
1618,35,,,,,
3972,38,,,,,
562,38,,,,,
18173,38,,,,,
5829,35,,,,,
3443,40,,,,,
3315,41,,,,,
3294,40,,,,,
4842,38,,,,,
10873,41,,,,,
695,38,,,,,
1177,37,,,,,
1082,38,,,,,
806,37,,,,,
1151,36,,,,,
481,41,,,,,
4474,38,,,,,
1504,39,,,,,
29000,41,,,,,
779,37,,,,,
9051,34,,,,,
3670,35,,,,,
103,35,,,,,
7097,34,,,,,
10298,37,,,,,
2255,41,,,,,
3822,36,,,,,
484,35,,,,,
3267,34,,,,,
2644,38,,,,,
8721,39,,,,,
2274,39,,,,,
320304,35,,,,,
2697,40,,,,,
28009,39,,,,,
4276,37,,,,,
3561,37,,,,,
4604,37,,,,,
18765,35,,,,,
7724,34,,,,,
6651,36,,,,,
9022,37,,,,,
3449,39,,,,,
8243,43,,,,,
726,36,,,,,
5724,41,,,,,
3180,36,,,,,
3566,36,,,,,
177324,38,,,,,
322,39,,,,,
1593,40,,,,,
634,37,,,,,
333,35,,,,,
7188,37,,,,,
13199,38,,,,,
4328,39,,,,,
98852,36,,,,,
6653,36,,,,,
8905,41,,,,,
1351,38,,,,,
16022,41,,,,,
1081,35,,,,,
3211,35,,,,,
2239,37,,,,,
343185,39,,,,,
3468,39,,,,,
7337,38,,,,,
2495,38,,,,,
14189,39,,,,,
7337,37,,,,,
10503,37,,,,,
5645,38,,,,,
10014,41,,,,,
2772,38,,,,,
4094,39,,,,,
3863,39,,,,,
4066,36,,,,,
4631,38,,,,,
6132,38,,,,,
6504,37,,,,,
5718,41,,,,,
2952,39,,,,,
11845,41,,,,,
800,38,,,,,
340,40,,,,,
511,35,,,,,
833,36,,,,,
11780,35,,,,,
149654,42,,,,,
52147,38,,,,,
4410,38,,,,,
384,39,,,,,
7001,38,,,,,
9741,34,,,,,
8469,38,,,,,
3918,35,,,,,
9283,37,,,,,
6089,38,,,,,
5448,37,,,,,
9884,34,,,,,
10590,39,,,,,
17196,38,,,,,
10339,37,,,,,
1795,35,,,,,
4834,35,,,,,
7287,40,,,,,
3009,35,,,,,
3418,35,,,,,
4955,39,,,,,
640,41,,,,,
1494,36,,,,,
8337,35,,,,,
15441,37,,,,,
5965,38,,,,,
9854,41,,,,,
6919,36,,,,,
23738,38,,,,,
3593,38,,,,,
4495,41,,,,,
4468,39,,,,,
2592,37,,,,,
3958,35,,,,,
521,37,,,,,
1919,36,,,,,
523,29,,,,,
1260,35,,,,,
2127,36,,,,,
1086,34,,,,,
14098,37,,,,,
2764,39,,,,,
5761,36,,,,,
19941,40,,,,,
327,39,,,,,
3258,39,,,,,
4288,39,,,,,
6271,40,,,,,
2467,36,,,,,
4947,38,,,,,
3436,36,,,,,
964,35,,,,,
7047,39,,,,,
20257,36,,,,,
8888,37,,,,,
2482,38,,,,,
2476,37,,,,,
11979,38,,,,,
343,35,,,,,
518,34,,,,,
276,34,,,,,
16922,35,,,,,
1629,37,,,,,
1470,35,,,,,
1787,38,,,,,
5674,36,,,,,
2883,38,,,,,
15364,38,,,,,
7447,38,,,,,
1958,38,,,,,
3903,35,,,,,
5037,39,,,,,
9581,39,,,,,
10510,38,,,,,
38491,38,,,,,
2725,41,,,,,
3978,41,,,,,
4693,37,,,,,
1405,38,,,,,
625,37,,,,,
377,34,,,,,
337,39,,,,,
162,34,,,,,
15942,39,,,,,
5469,34,,,,,
4410,38,,,,,
4419,36,,,,,
4085,37,,,,,
519,41,,,,,
