following,median age,,,,,
62,38,,,,,
352,38,,,,,
201,36,,,,,
1389,39,,,,,
1177,36,,,,,
2,38,,slope,-3.53994E-05,37.26384244,intercept
58,34,,plus or minus,3.5488E-05,0.11046463,plus or minus
1792,35,,r^2,0.002130673,2.193212803,s(y)
426,35,,F,0.995013897,466,degrees of freedom
247,38,,regression ss,4.786198332,2241.544998,residual ss
7716,38,,,,,
13700,39,,,,,
76,35,,,,,
223,34,,,,,
143,41,,,,,
39,39,,,,,
3852,37,,,,,
546,40,,,,,
272,37,,,,,
1969,38,,,,,
1781,38,,,,,
443,38,,,,,
698,34,,,,,
95,29,,,,,
125,37,,,,,
154,35,,,,,
116,36,,,,,
3955,37,,,,,
1180,41,,,,,
11417,38,,,,,
10741,41,,,,,
352,37,,,,,
2176,35,,,,,
484,34,,,,,
49,36,,,,,
1666,40,,,,,
14975,35,,,,,
7752,39,,,,,
1119,38,,,,,
1984,38,,,,,
681,37,,,,,
327,40,,,,,
803,38,,,,,
5,36,,,,,
313,39,,,,,
263,38,,,,,
551,36,,,,,
73,37,,,,,
1762,37,,,,,
37,35,,,,,
68,35,,,,,
6961,39,,,,,
0,37,,,,,
140,38,,,,,
420,39,,,,,
887,39,,,,,
183,35,,,,,
860,38,,,,,
436,37,,,,,
456,37,,,,,
139,36,,,,,
296,36,,,,,
468,39,,,,,
257,38,,,,,
329,35,,,,,
518,43,,,,,
693,35,,,,,
196,38,,,,,
113,41,,,,,
8872,38,,,,,
805,41,,,,,
604,34,,,,,
2863,34,,,,,
33,36,,,,,
8364,34,,,,,
263,35,,,,,
348,38,,,,,
1422,34,,,,,
1390,34,,,,,
275,35,,,,,
2282,38,,,,,
296,38,,,,,
1735,40,,,,,
169,40,,,,,
363,38,,,,,
522,37,,,,,
22141,29,,,,,
1467,36,,,,,
153,38,,,,,
816,35,,,,,
728,39,,,,,
66,39,,,,,
298,37,,,,,
103,39,,,,,
408,40,,,,,
396,34,,,,,
30,38,,,,,
291,35,,,,,
69,35,,,,,
209,37,,,,,
210,37,,,,,
1875,34,,,,,
542,38,,,,,
7052,36,,,,,
602,40,,,,,
954,39,,,,,
265,34,,,,,
29,40,,,,,
684,37,,,,,
134,41,,,,,
249,37,,,,,
834,41,,,,,
1058,35,,,,,
2560,39,,,,,
1118,38,,,,,
398,38,,,,,
193,37,,,,,
37,40,,,,,
311,37,,,,,
71,38,,,,,
947,41,,,,,
1278,37,,,,,
229,38,,,,,
225,35,,,,,
234,37,,,,,
1549,37,,,,,
187,38,,,,,
4373,37,,,,,
11,37,,,,,
396,40,,,,,
405,35,,,,,
875,40,,,,,
122,35,,,,,
199,36,,,,,
5062,38,,,,,
1183,36,,,,,
2109,36,,,,,
1214,37,,,,,
25,40,,,,,
1012,37,,,,,
1122,39,,,,,
165,36,,,,,
499,38,,,,,
620,38,,,,,
708,34,,,,,
1230,34,,,,,
167,41,,,,,
100,36,,,,,
144,38,,,,,
2144,38,,,,,
886,34,,,,,
14948,38,,,,,
49,34,,,,,
152,37,,,,,
107,39,,,,,
184,40,,,,,
1028,35,,,,,
223,36,,,,,
268,34,,,,,
21,34,,,,,
6006,35,,,,,
3007,35,,,,,
402,36,,,,,
3237,39,,,,,
161,38,,,,,
2416,36,,,,,
349,38,,,,,
3531,37,,,,,
370,38,,,,,
68,38,,,,,
35,39,,,,,
226,34,,,,,
61,38,,,,,
378,37,,,,,
37,29,,,,,
367,34,,,,,
1568,38,,,,,
190,35,,,,,
216,34,,,,,
1147,38,,,,,
540,36,,,,,
1095,39,,,,,
371,36,,,,,
11,37,,,,,
615,40,,,,,
443,37,,,,,
588,39,,,,,
332,38,,,,,
188,38,,,,,
390,38,,,,,
73,36,,,,,
925,37,,,,,
1384,36,,,,,
2660,39,,,,,
1682,37,,,,,
456,38,,,,,
44,37,,,,,
699,35,,,,,
0,37,,,,,
118,37,,,,,
443,36,,,,,
670,37,,,,,
14,35,,,,,
76,37,,,,,
641,36,,,,,
24086,35,,,,,
241,38,,,,,
282,34,,,,,
799,34,,,,,
118,34,,,,,
49,37,,,,,
114,37,,,,,
312,35,,,,,
5254,39,,,,,
4457,36,,,,,
138,36,,,,,
540,39,,,,,
79,39,,,,,
1291,39,,,,,
159,39,,,,,
508,39,,,,,
75,38,,,,,
337,35,,,,,
1720,37,,,,,
48,38,,,,,
186,37,,,,,
541,36,,,,,
590,39,,,,,
105,40,,,,,
816,37,,,,,
69,39,,,,,
2330,39,,,,,
23,37,,,,,
802,41,,,,,
220,43,,,,,
1073,38,,,,,
88,39,,,,,
55,42,,,,,
0,39,,,,,
4055,39,,,,,
162,35,,,,,
37,35,,,,,
347,38,,,,,
132,36,,,,,
529,35,,,,,
127,39,,,,,
307,40,,,,,
1517,39,,,,,
1035,37,,,,,
122,39,,,,,
115,36,,,,,
481,38,,,,,
4536,39,,,,,
133,37,,,,,
6214,37,,,,,
496,35,,,,,
404,36,,,,,
1998,29,,,,,
675,35,,,,,
1212,35,,,,,
227,37,,,,,
3308,38,,,,,
67,39,,,,,
284,36,,,,,
57,38,,,,,
487,39,,,,,
160,38,,,,,
613,37,,,,,
129,37,,,,,
5234,35,,,,,
459,39,,,,,
6,38,,,,,
211,35,,,,,
176,38,,,,,
1082,36,,,,,
1442,37,,,,,
138,38,,,,,
48,35,,,,,
93,29,,,,,
651,37,,,,,
7,43,,,,,
405,39,,,,,
448,40,,,,,
320,34,,,,,
3513,37,,,,,
81,34,,,,,
2239,34,,,,,
5131,37,,,,,
339,39,,,,,
1387,35,,,,,
11028,35,,,,,
174,35,,,,,
1410,38,,,,,
6,38,,,,,
82,38,,,,,
0,35,,,,,
371,40,,,,,
