SenJohnMcCain,Sen,John,McCain,R,AZ,M,76,4813,51,1798403,284
SpeakerBoehner,Rep,John,Boehner,R,OH,M,63,10431,69,468004,13700
reppaulryan,Rep,Paul,Ryan,R,WI,M,43,1198,51,343185,1
NancyPelosi,Rep,Nancy,Pelosi,D,CA,F,73,1288,56,320304,253
SenRandPaul,Sen,Rand,Paul,R,KY,M,50,849,29,177324,226
MicheleBachmann,Rep,Michele,Bachmann,R,MN,F,57,1996,52,175742,3955
sensanders,Sen,Bernard,Sanders,I,VT,M,71,6289,48,149654,1114
gopleader,Rep,Eric,Cantor,R,VA,M,49,4911,51,142391,8872
SenatorReid,Sen,Harry,Reid,D,NV,M,73,1773,54,98852,134
DarrellIssa,Rep,Darrell,Issa,R,CA,M,59,13773,50,80078,24086
ChuckGrassley,Sen,Charles,Grassley,R,IA,M,79,2570,65,67125,14948
TomCoburn,Sen,Thomas,Coburn,R,OK,M,65,799,52,62467,139
chuckschumer,Sen,Charles,Schumer,D,NY,M,62,1874,53,52147,27825
