DarrellIssa,Rep,Darrell,Issa,R,CA,M,59,13773,50,80078,24086
RepDennisRoss,Rep,Dennis,Ross,R,FL,M,53,10032,48,5718,1409
RepSinema,Rep,Kyrsten,Sinema,D,AZ,F,36,326,2,1919,484
mikecrapo,Sen,Michael,Crapo,R,ID,M,61,1528,10,2904,329
RepTimGriffin,Rep,Tim,Griffin,R,AR,M,44,4547,30,7184,3531
SpeakerBoehner,Rep,John,Boehner,R,OH,M,63,10431,69,468004,13700
repjustinamash,Rep,Justin,Amash,R,MI,M,32,3895,27,24929,1389
JohnCornyn,Sen,John,Cornyn,R,TX,M,61,8941,62,40188,8364
sensanders,Sen,Bernard,Sanders,I,VT,M,71,6289,48,149654,1114
BettyMcCollum04,Rep,Betty,McCollum,D,MN,F,58,1658,13,2646,651
RepGaramendi,Rep,John,Garamendi,D,CA,M,68,5184,41,6779,6006
RosLehtinen,Rep,Ileana,Ros-Lehtinen,R,FL,F,60,7581,61,16022,952
RepDeSantis,Rep,Ron,DeSantis,R,FL,M,34,343,3,1280,947
RepScottPeters,Rep,Scott,Peters,D,CA,M,54,220,2,333,185
RepPeteGallego,Rep,Pete,Gallego,D,TX,M,51,310,3,628,226
