JohnBoozman,Sen,John,Boozman,R,AR,M,62,921,72,12721,272
RepTomPrice,Rep,Tom,Price,R,GA,M,58,3219,71,18765,3126
askgeorge,Rep,George,Miller,D,CA,M,67,1494,70,8821,211
MarkWarner,Sen,Mark,Warner,D,VA,M,58,2304,70,38491,11163
SpeakerBoehner,Rep,John,Boehner,R,OH,M,63,10431,69,468004,13700
MarkUdall,Sen,Mark,Udall,D,CO,M,62,2460,69,20257,187
TomLatham,Rep,Tom,Latham,R,IA,M,64,581,66,8149,1073
ChuckGrassley,Sen,Charles,Grassley,R,IA,M,79,2570,65,67125,14948
stevedaines,Rep,Steve,Daines,R,MT,M,50,69,64,758,37
RepTimRyan,Rep,Tim,Ryan,D,OH,M,39,1087,62,14189,983
JohnCornyn,Sen,John,Cornyn,R,TX,M,61,8941,62,40188,8364
keithellison,Rep,Keith,Ellison,D,MN,M,49,4491,61,41199,1549
RosLehtinen,Rep,Ileana,Ros-Lehtinen,R,FL,F,60,7581,61,16022,952
chelliepingree,Rep,Chellie,Pingree,D,ME,F,58,866,59,8243,254
GrahamBlog,Sen,Lindsey,Graham,R,SC,M,57,2236,59,36472,2144
